,personnel-costs-row.amount,material-costs-row.amount,rent-costs-row.amount,service-purchase-costs-row.amount,steamship-costs-row.amount,other-costs-row.amount,equipment-costs-row.amount,coordination-costs-row.amount,other-costs-row-2.amount,personnel-costs-row.amount-18,material-costs-row.amount-18,menotamount,project-incomes-row.amount,own-income-row.amount,eu-programs-income-row.amount,other-public-financing-income-row.amount,private-financing-income-row.amount,tulotamount,summaamount,SummienTodennakoisyys,radioButton-good-practices,organization_name,project_name,ei-tuotos-tyyppia,henkiloestoeliikkuvuudet-lkm,julkaisut,kasikirja,koulutus,muu-tuotos,ohjelma,opiskelijaliikkuvuudet-lkm,raportti,selvitys,tapahtuma,toimintamalli,tutkimus,verkkosivut,min,max,std,mean,sum,haku_id,osa_alue_id,osa_alue_nimi
"4Tampereen kaupunki/ Tampereen seudun ammattiopisto, TreduViete III",71229.0,697.0,0.0,569.0,253.0,1988.0,0.0,0.0,0.0,0.0,0.0,74736.0,0.0,19736.0,0.0,0.0,0.0,19736.0,-55000.0,47.021620630058976,kyllae,"Tampereen kaupunki/ Tampereen seudun ammattiopisto, Tredu",Viete III,,,,,,,,,,,,3.0,,,-0.1,0.7,0.16878455796515035,0.12,3.0,4,4,04 Ammatillinen koulutus
11Lapin yliopisto / Koulutus- ja kehittämispalvelutTehemä pois II - ilmiöistä yrittäjyyttä,11106.0,0.0,248.0,2000.0,1646.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,-15000.0,94.43910703625305,,Lapin yliopisto / Koulutus- ja kehittämispalvelut,Tehemä pois II - ilmiöistä yrittäjyyttä,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,11,1,01 Varhaiskasvatus
11Mediakasvatusseura ryMEMO2 - Mediapolulta monilukutaitoa ,8073.0,0.0,0.0,22123.0,3349.0,1055.0,0.0,0.0,0.0,0.0,0.0,34600.0,0.0,0.0,0.0,0.0,0.0,0.0,-34600.0,78.79272675500235,,Mediakasvatusseura ry,MEMO2 - Mediapolulta monilukutaitoa ,4.0,,,,,,,,,,,,,,0.0,0.8,0.20385078737642812,0.2592857142857143,0.0,11,1,01 Varhaiskasvatus
11Tampereen yliopistoMonilukutaito laaja-alaisena osaamisena uusissa oppimisympäristöissä,19766.0,43.0,781.0,5755.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0,27134.0,0.0,0.0,0.0,0.0,0.0,0.0,-27134.0,79.42118410557806,,Tampereen yliopisto,Monilukutaito laaja-alaisena osaamisena uusissa oppimisympäristöissä,1.0,,,,,,,,,,,,,,0.4,0.9,0.2645751311064591,0.7000000000000001,0.0,11,1,01 Varhaiskasvatus
11Lapin yliopisto / Koulutus- ja kehittämispalvelutTieto-ja viestintätekniikka vapaan sivistystyön opetuksen ja työn välineenä 12 op ,11065.0,67.0,185.0,14880.0,3663.0,0.0,0.0,0.0,0.0,0.0,0.0,29860.0,0.0,0.0,0.0,0.0,0.0,0.0,-29860.0,80.15040300014476,,Lapin yliopisto / Koulutus- ja kehittämispalvelut,Tieto-ja viestintätekniikka vapaan sivistystyön opetuksen ja työn välineenä 12 op ,1.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,11,1,01 Varhaiskasvatus
11Kansanvalistusseura / Etäkoulu KulkuriCase Forest: metsä monialaisena oppimiskokonaisuutena,19120.0,0.0,3696.0,8220.0,570.0,123.0,0.0,0.0,0.0,0.0,0.0,31729.0,0.0,0.0,0.0,0.0,0.0,0.0,-31729.0,78.58263759226232,,Kansanvalistusseura / Etäkoulu Kulkuri,Case Forest: metsä monialaisena oppimiskokonaisuutena,5.0,,,,,,,,,,,,,,0.0,0.6,0.19656125291633364,0.2633333333333333,0.0,11,1,01 Varhaiskasvatus
"11Turun yliopisto (Opettajankoulutuslaitos, Rauman yksikkö)Osaamista kulttuurisesti moninaiseen kouluun ja päiväkotiin",34208.0,1319.0,1883.0,6028.0,5945.0,0.0,0.0,0.0,0.0,0.0,0.0,49383.0,0.0,0.0,0.0,0.0,0.0,0.0,-49383.0,79.25855429547694,,"Turun yliopisto (Opettajankoulutuslaitos, Rauman yksikkö)",Osaamista kulttuurisesti moninaiseen kouluun ja päiväkotiin,2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,11,1,01 Varhaiskasvatus
11Finnoschool oyME - monilukutaidosta elämys,43100.0,0.0,1400.0,4957.0,218.0,325.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,-50000.0,79.36450633246423,,Finnoschool oy,ME - monilukutaidosta elämys,1.0,,,,,,,,,,,,,,0.0,0.3,0.15,0.075,0.0,11,1,01 Varhaiskasvatus
11Teatteriyhdistys Pensas ryNYT! – Draama oppimisen avuksi kouluihin 2016–2017,73342.0,121.0,2729.0,1504.0,3486.0,599.0,0.0,0.0,0.0,0.0,0.0,81781.0,0.0,0.0,0.0,0.0,0.0,0.0,-81781.0,79.09966620773817,,Teatteriyhdistys Pensas ry,NYT! – Draama oppimisen avuksi kouluihin 2016–2017,7.0,,,,,,,,,,,,,,-0.2,0.9,0.12374368670764585,0.2357142857142857,0.0,11,1,01 Varhaiskasvatus
11Jyväskylän yliopiston kielikampusMonessa kielessä monella tavalla - näkökulmia kielitietoiseen kielikoulutukseen,4073.0,36.0,0.0,271.0,0.0,3790.0,0.0,0.0,0.0,0.0,0.0,8170.0,0.0,0.0,0.0,0.0,0.0,0.0,-8170.0,86.54963673524327,,Jyväskylän yliopiston kielikampus,Monessa kielessä monella tavalla - näkökulmia kielitietoiseen kielikoulutukseen,2.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,11,1,01 Varhaiskasvatus
11Sydkustens landskapsförbund r.f. ”En bättre miljö – ett bättre dagis”. Piloten för processinriktad fortbildning av daghemspersonal,10137.0,324.0,900.0,3218.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,14700.0,0.0,0.0,0.0,0.0,0.0,0.0,-14700.0,79.2309716374795,,Sydkustens landskapsförbund r.f. ,”En bättre miljö – ett bättre dagis”. Piloten för processinriktad fortbildning av daghemspersonal,1.0,,,,,,,,,,,,,,0.0,0.4,0.28284271247461906,0.2,0.0,11,1,01 Varhaiskasvatus
11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaMultimodalt arbete i en ämnesövergripande verksamhetskultur,40046.0,633.0,1987.0,1470.0,5004.0,0.0,0.0,0.0,0.0,0.0,0.0,49140.0,0.0,0.0,0.0,0.0,0.0,0.0,-49140.0,79.27776589167897,,Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan Novia,Multimodalt arbete i en ämnesövergripande verksamhetskultur,1.0,,,,,,,,,,,,,,0.0,0.5,0.21602468994692867,0.30000000000000004,0.0,11,1,01 Varhaiskasvatus
11Ilona IT OyStrateginen loikka - ST,34719.0,0.0,165.0,629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35513.0,0.0,0.0,0.0,0.0,0.0,0.0,-35513.0,96.70118601358149,,Ilona IT Oy,Strateginen loikka - ST,2.0,,,,,,,,,,,,,,-0.3,0.5,0.20055723573931908,0.1875,0.0,11,1,01 Varhaiskasvatus
11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaInterkulturell kompetens och språkutvecklande arbetssätt,25132.0,190.0,2036.0,6089.0,3816.0,0.0,0.0,0.0,0.0,0.0,0.0,37263.0,0.0,0.0,0.0,0.0,0.0,0.0,-37263.0,79.46783652284303,,Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan Novia,Interkulturell kompetens och språkutvecklande arbetssätt,2.0,,,,,,,,,,,,,,0.0,0.8,0.23907336195618625,0.37777777777777777,0.0,11,1,01 Varhaiskasvatus
11HY+ AbSpecialpedagogik för yrkeslärare,42519.0,311.0,2387.0,949.0,1172.0,3390.0,0.0,0.0,0.0,0.0,0.0,50728.0,45000.0,0.0,0.0,0.0,0.0,45000.0,-5728.0,66.74188516286203,,HY+ Ab,Specialpedagogik för yrkeslärare,1.0,,,,,,,,,,,,,,-0.6,0.7,0.7234178138070235,0.2333333333333333,0.0,11,1,01 Varhaiskasvatus
11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaFörmåga att tänka och lära sig - kompetenser för elever och lärare,39773.0,213.0,2528.0,8710.0,3840.0,0.0,0.0,0.0,0.0,0.0,0.0,55064.0,0.0,0.0,0.0,0.0,0.0,0.0,-55064.0,79.47796653409837,,Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan Novia,Förmåga att tänka och lära sig - kompetenser för elever och lärare,3.0,,,,,,,,,,,,,,-0.4,0.8,0.3147281509602801,0.15968253968253968,0.0,11,1,01 Varhaiskasvatus
11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaLeadership matters-rektorer,30932.0,351.0,8627.0,33857.0,8976.0,0.0,0.0,0.0,0.0,0.0,0.0,82743.0,0.0,0.0,0.0,0.0,0.0,0.0,-82743.0,72.83733275516474,,Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan Novia,Leadership matters-rektorer,2.0,,,,,,,,,,,,,,-0.4,0.4,0.14142135623730953,0.1,0.0,11,1,01 Varhaiskasvatus
"11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaLedarskap inom småbarnspedagogik och förskoleundervisning, 25 sp",29184.0,155.0,7874.0,11802.0,6005.0,0.0,0.0,0.0,0.0,0.0,0.0,55020.0,0.0,0.0,0.0,0.0,0.0,0.0,-55020.0,74.83294345606791,,Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan Novia,"Ledarskap inom småbarnspedagogik och förskoleundervisning, 25 sp",2.0,,,,,,,,,,,,,,-0.4,0.9,0.3032342396631977,0.2803846153846154,0.0,11,1,01 Varhaiskasvatus
11Suomen Rehtorit ryRehtorin ammattivalmennus,3871.0,0.0,150.0,57251.0,11477.0,164.0,0.0,0.0,0.0,0.0,0.0,72913.0,0.0,0.0,0.0,0.0,0.0,0.0,-72913.0,71.02592796704464,,Suomen Rehtorit ry,Rehtorin ammattivalmennus,1.0,,,,,,,,,,,,,,-0.4,0.7,0.48304589153964794,0.3,0.0,11,1,01 Varhaiskasvatus
11Turun yliopiston koulutussosiologian tutkimuskeskusDigiKick,32166.0,0.0,0.0,26500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58666.0,0.0,0.0,0.0,0.0,0.0,0.0,-58666.0,78.58211533166183,,Turun yliopiston koulutussosiologian tutkimuskeskus,DigiKick,3.0,,,,,,,,,,,,,,-0.2,0.8,0.3316810143056889,0.23777777777777775,0.0,11,1,01 Varhaiskasvatus
11Suomen Kansanopistoyhdistys-Finlands Folkhögskolförening ry”Kansanopiston johtaminen on erilaista” - Kansanopistojohtamisen koulutusohjelma,25013.0,318.0,1969.0,9242.0,1117.0,0.0,0.0,0.0,0.0,0.0,0.0,37659.0,0.0,0.0,0.0,0.0,0.0,0.0,-37659.0,79.46716447283274,,Suomen Kansanopistoyhdistys-Finlands Folkhögskolförening ry,”Kansanopiston johtaminen on erilaista” - Kansanopistojohtamisen koulutusohjelma,2.0,,,,,,,,,,,,,,-0.8,0.7,0.3036166964665269,0.1,0.0,11,1,01 Varhaiskasvatus
11Finnoschool oyProPedagogy2025 - käänteisellä pedagogiikalla kohti yksilöllistä oppimista ,35127.0,860.0,4473.0,16664.0,2018.0,858.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,-60000.0,78.46466787332166,,Finnoschool oy,ProPedagogy2025 - käänteisellä pedagogiikalla kohti yksilöllistä oppimista ,3.0,,,,,,,,,,,,,,-0.3,0.6,0.2658865248604296,0.20833333333333331,0.0,11,1,01 Varhaiskasvatus
"11Jyväskylän ammattikorkeakoulu, Ammatillinen opettajakorkeakouluTunne-, turva- ja sosiaaliset taidot oppimisen, pitkäjänteisen yhteistyön ja kotoutumisen tukena",36212.0,1731.0,406.0,14400.0,1283.0,0.0,0.0,0.0,0.0,0.0,0.0,54032.0,0.0,0.0,0.0,0.0,0.0,0.0,-54032.0,79.48864220179244,,"Jyväskylän ammattikorkeakoulu, Ammatillinen opettajakorkeakoulu","Tunne-, turva- ja sosiaaliset taidot oppimisen, pitkäjänteisen yhteistyön ja kotoutumisen tukena",1.0,,,,,,,,,,,,,,0.5,0.8,0.1527525231651947,0.6666666666666666,0.0,11,1,01 Varhaiskasvatus
11Metropolia Ammattikorkeakoulu Rakentamisen tietomallien (BIM) -perusteet ammattioppilaitosten opettajille,65508.0,0.0,0.0,2105.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0,67999.0,9600.0,0.0,0.0,0.0,0.0,9600.0,-58399.0,78.94415120313734,,Metropolia Ammattikorkeakoulu ,Rakentamisen tietomallien (BIM) -perusteet ammattioppilaitosten opettajille,3.0,,,,,,,,,,,,,,0.0,0.1,0.05773502691896259,0.04444444444444445,0.0,11,1,01 Varhaiskasvatus
11Oulun ammattikorkeakoulu Oy/Ammatillinen opettajakorkeakouluTUTKESTA toimintaan ll,63836.0,1215.0,6116.0,0.0,4189.0,1644.0,0.0,0.0,0.0,0.0,0.0,77000.0,0.0,0.0,0.0,0.0,0.0,0.0,-77000.0,76.779108750455,,Oulun ammattikorkeakoulu Oy/Ammatillinen opettajakorkeakoulu,TUTKESTA toimintaan ll,1.0,,,,,,,,,,,,,,-0.1,0.3,0.13662601021279466,0.13333333333333333,0.0,11,1,01 Varhaiskasvatus
11Tampereen ammattikorkeakoulu OyMoninaisuusosaaja,63088.0,3825.0,4320.0,4770.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,76282.0,0.0,0.0,0.0,0.0,0.0,0.0,-76282.0,77.99740254888866,,Tampereen ammattikorkeakoulu Oy,Moninaisuusosaaja,2.0,,,,,,,,,,,,,,0.0,0.6,0.14142135623730953,0.35,0.0,11,1,01 Varhaiskasvatus
11Tampereen ammattikorkeakoulu OyNäyttötutkintomestarin koulutusohjelma 25 op,71449.0,244.0,60.0,4030.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,76216.0,0.0,0.0,0.0,0.0,0.0,0.0,-76216.0,93.702224313302,,Tampereen ammattikorkeakoulu Oy,Näyttötutkintomestarin koulutusohjelma 25 op,2.0,,,,,,,,,,,,,,0.0,0.6,0.4242640687119285,0.15,0.0,11,1,01 Varhaiskasvatus
11Tampereen ammattikorkeakoulu OyPettu - oppilaitosten välijohtajat puun ja kuoren välissä,28008.0,68.0,2364.0,4450.0,2532.0,0.0,0.0,0.0,0.0,0.0,0.0,37422.0,0.0,0.0,0.0,0.0,0.0,0.0,-37422.0,79.40605078324023,,Tampereen ammattikorkeakoulu Oy,Pettu - oppilaitosten välijohtajat puun ja kuoren välissä,4.0,,,,,,,,,,,,,,-0.6,0.9,0.4209060530261983,0.042016317016317035,0.0,11,1,01 Varhaiskasvatus
11Tampereen ammattikorkeakoulu OyTUTKESTA toimintaan II,74490.0,524.0,0.0,2200.0,6703.0,0.0,0.0,0.0,0.0,0.0,0.0,83917.0,0.0,0.0,0.0,0.0,0.0,0.0,-83917.0,78.35647380840433,,Tampereen ammattikorkeakoulu Oy,TUTKESTA toimintaan II,2.0,,,,,,,,,,,,,,0.0,0.5,0.03535533905932737,0.225,0.0,11,1,01 Varhaiskasvatus
11Tampereen kaupunki - Tampereen seudun ammattiopisto Muuttuva pedagogiikka - työkaluja muuttuvaan ja monimuotoiseen opettajuuteen,25451.0,14.0,0.0,4463.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,30513.0,0.0,0.0,0.0,29915.0,0.0,29915.0,-598.0,46.662050313060725,,Tampereen kaupunki - Tampereen seudun ammattiopisto ,Muuttuva pedagogiikka - työkaluja muuttuvaan ja monimuotoiseen opettajuuteen,5.0,,,,,,,,,,,,,,-0.3,0.8,0.24968857980986636,0.1523138528138528,0.0,11,1,01 Varhaiskasvatus
"11Turun kaupunki, sivistystoimiala, Turun ammatti-instituutti aikuiskoulutusDigiroihu",62719.0,158.0,3875.0,32134.0,2184.0,0.0,0.0,0.0,0.0,0.0,0.0,101070.0,0.0,0.0,0.0,0.0,0.0,0.0,-101070.0,78.00341040891284,,"Turun kaupunki, sivistystoimiala, Turun ammatti-instituutti aikuiskoulutus",Digiroihu,3.0,,,,,,,,,,,,,,0.0,0.8,0.13768926368215256,0.15833333333333333,0.0,11,1,01 Varhaiskasvatus
"11Jyväskylän yliopisto, Koulutusjohtamisen instituuttiMinustako päiväkodin johtaja? -Päiväkodin johtajan työhön valmentava koulutus",39366.0,0.0,4330.0,2283.0,6584.0,0.0,0.0,0.0,0.0,0.0,0.0,52563.0,0.0,0.0,0.0,0.0,0.0,0.0,-52563.0,78.11671574341644,,"Jyväskylän yliopisto, Koulutusjohtamisen instituutti",Minustako päiväkodin johtaja? -Päiväkodin johtajan työhön valmentava koulutus,4.0,,,,,,,,,,,,,,-0.1,0.9,0.2745632804662006,0.4516666666666666,0.0,11,1,01 Varhaiskasvatus
11Kokkolan kaupunkiPedagoginen osaaminen uudistuvassa varhaiskasvatuksessa,1168.0,0.0,3025.0,36991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41184.0,0.0,0.0,0.0,0.0,0.0,0.0,-41184.0,77.26206672214367,,Kokkolan kaupunki,Pedagoginen osaaminen uudistuvassa varhaiskasvatuksessa,5.0,,,,,,,,,,,,,,-0.3,0.7,0.2262741699796952,0.16,0.0,11,1,01 Varhaiskasvatus
11Otavan Opisto / Mikkelin kaupunkiKoulutuskeskiviikot,34381.0,130.0,4634.0,28192.0,4773.0,0.0,0.0,0.0,0.0,0.0,0.0,72110.0,0.0,0.0,0.0,0.0,0.0,0.0,-72110.0,77.98794786152139,,Otavan Opisto / Mikkelin kaupunki,Koulutuskeskiviikot,1.0,,,,,,,,,,,,,,-0.1,-0.1,,-0.1,0.0,11,1,01 Varhaiskasvatus
11Aikuis- ja täydennyskoulutuspalvelut AIKOPALapsen osallisuuden vahvistaminen varhaiskasvatuksessa,8245.0,0.0,1376.0,7501.0,607.0,0.0,0.0,0.0,0.0,0.0,0.0,17729.0,0.0,0.0,0.0,0.0,0.0,0.0,-17729.0,79.32321636156692,,Aikuis- ja täydennyskoulutuspalvelut AIKOPA,Lapsen osallisuuden vahvistaminen varhaiskasvatuksessa,1.0,,,,,,,,,,,,,,0.5,0.6,0.057735026918962574,0.5666666666666668,0.0,11,1,01 Varhaiskasvatus
11Turun yliopiston Brahea-keskusOikeudenmukainen laadullinen arviointi oppimisen edistäjänä,31795.0,32.0,3008.0,130.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,35078.0,0.0,0.0,0.0,0.0,0.0,0.0,-35078.0,78.68424737162142,,Turun yliopiston Brahea-keskus,Oikeudenmukainen laadullinen arviointi oppimisen edistäjänä,1.0,,,,,,,,,,,,,,-0.2,0.5,0.2522624895547565,0.18181818181818185,0.0,11,1,01 Varhaiskasvatus
"11Turun kaupunki, TOP-keskusOpen merkit - yksilöllinen osaamisen kehittäminen ja sen näkyväksi tekeminen",47471.0,553.0,8049.0,8951.0,1770.0,2473.0,0.0,0.0,0.0,0.0,0.0,69267.0,0.0,0.0,0.0,0.0,0.0,0.0,-69267.0,74.07699705389201,,"Turun kaupunki, TOP-keskus",Open merkit - yksilöllinen osaamisen kehittäminen ja sen näkyväksi tekeminen,3.0,,,,,,,,,,,,,,0.0,0.8,0.28284271247461895,0.23333333333333334,0.0,11,1,01 Varhaiskasvatus
"11Jyväskylän yliopisto, Koulutusjohtamisen instituuttiMinustako rehtori? Rehtorin tehtäviin valmentava koulutus",43630.0,0.0,3936.0,2136.0,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,51749.0,0.0,0.0,0.0,0.0,0.0,0.0,-51749.0,78.5832156274986,,"Jyväskylän yliopisto, Koulutusjohtamisen instituutti",Minustako rehtori? Rehtorin tehtäviin valmentava koulutus,3.0,,,,,,,,,,,,,,-0.1,0.8,0.26285417577214903,0.4453968253968254,0.0,11,1,01 Varhaiskasvatus
11Metropolia AmmattikorkeakouluOpen ohjelmointi,40801.0,0.0,0.0,907.0,2425.0,0.0,0.0,0.0,0.0,0.0,0.0,44133.0,0.0,0.0,0.0,0.0,0.0,0.0,-44133.0,92.92242326708677,,Metropolia Ammattikorkeakoulu,Open ohjelmointi,8.0,,,,,,,,,,,,,,-0.1,0.2,0.07071067811865478,0.03125,0.0,11,1,01 Varhaiskasvatus
11HY+ OyDigiKehittäjäopettaja,57089.0,0.0,3375.0,640.0,116.0,4426.0,0.0,0.0,0.0,0.0,0.0,65646.0,0.0,0.0,0.0,0.0,0.0,0.0,-65646.0,78.46906391584345,,HY+ Oy,DigiKehittäjäopettaja,2.0,,,,,,,,,,,,,,0.0,0.3,0.09309036597828996,0.15833333333333333,0.0,11,1,01 Varhaiskasvatus
"11Jyväskylän yliopisto, Koulutusjohtamisen instituuttiCritical Friends - rehtorit ja yritysjohto yhdessä",26416.0,0.0,3159.0,4018.0,10604.0,0.0,0.0,0.0,0.0,0.0,0.0,44197.0,0.0,0.0,0.0,0.0,0.0,0.0,-44197.0,76.9443753949448,,"Jyväskylän yliopisto, Koulutusjohtamisen instituutti",Critical Friends - rehtorit ja yritysjohto yhdessä,5.0,,,,,,,,,,,,,,-0.3,0.8,0.2400111721699945,0.2583333333333333,0.0,11,1,01 Varhaiskasvatus
11Suomen ympäristöopisto SYKLIKaupunkisuunnittelu laaja-alaisen oppimisen innoittajana II,57100.0,1650.0,521.0,18664.0,1908.0,0.0,0.0,0.0,0.0,0.0,0.0,79843.0,0.0,0.0,0.0,0.0,0.0,0.0,-79843.0,79.39439530138313,,Suomen ympäristöopisto SYKLI,Kaupunkisuunnittelu laaja-alaisen oppimisen innoittajana II,3.0,,,,,,,,,,,,,,0.0,0.3,0.07071067811865475,0.05,0.0,11,1,01 Varhaiskasvatus
11HY+ OyMobiililoikka leikkiin,50227.0,0.0,2872.0,10799.0,1042.0,0.0,0.0,0.0,0.0,0.0,0.0,64940.0,0.0,0.0,0.0,0.0,0.0,0.0,-64940.0,79.18591048252459,,HY+ Oy,Mobiililoikka leikkiin,2.0,,,,,,,,,,,,,,0.0,0.6,0.26679352986119803,0.19166666666666665,0.0,11,1,01 Varhaiskasvatus
