,unique,ei-tuotos-tyyppia,henkiloestoeliikkuvuudet-lkm,julkaisut,kasikirja,koulutus,muu-tuotos,ohjelma,opiskelijaliikkuvuudet-lkm,raportti,selvitys,tapahtuma,toimintamalli,tutkimus,verkkosivut,min,max,std,mean
1110,57Urjalan kuntaPirkanmaan  tutoropettajien koulutusohjelma,,,1,,,,,,,,,1,1,,0.0,0.9,0.23839477904279383,0.24444444444444446
1111,57Utajärven kuntaTukea tutorista - virtaa verkosta!,,,1,,,,,,,,,,1,,0.0,0.4,0.28284271247461906,0.2
1112,57Utsjoen kuntaDigiosaaja ,,,,,,1,,,,,,,,,0.4,0.9,0.2645751311064591,0.7000000000000001
1113,57Uudenkaupungin kaupunki / SivistyspalvelukeskusVakka-Suomen tutoropettajien koulutus ja osaamisen kehittäminen / Uusikaupunki,,,,,,,,,,,,1,,,0.3,0.5,0.14142135623730953,0.4
1114,57Uuraisten kuntaUuraisten kunnan tutoropettajien koulutus ja osaamisen kehittäminen,,,,,,,,,,,,1,1,,0.0,0.2,,0.1
1115,57Vaalan kuntaOnnistumisen avaimet TVT-pedagogiikkaan,,,,,,,,,,,,1,,,0.0,0.9,0.42426406871192857,0.3
1116,57Vaasan kaupungin sivistystoimiVaasan kehittäjätehdas,,,,,,,,,,,,1,,,0.7,0.7,,0.7
1117,57Valkeakosken kaupunkiPirkanmaan tutoropettajien koulutusohjelma/ Valkeakoski,,,,,,,,,,,,,1,,0.0,0.0,,0.0
1118,57Vantaan kaupunkiTutoropettajien koulutus ja osaamisen kehittäminen,,,2,,,,,,,,,1,1,,-0.1,0.0,,-0.025
1119,57Vantaan seudun steinerkoulun kouluyhdistys ryDigitutoropettaja-koulutus Vantaan steinerkoulun opettajille,,,,,,,,,,,1,1,,,0.0,0.1,,0.05
1120,57Varkauden kaupunki sivistyspalvelutTutor-opettajat,,,,,,,,,,,,1,,,0.0,0.0,0.0,0.0
1121,57Vasa övningsskolaUtbildning och kompetensutveckling för tutorlärare,,,3,,,1,,,,,,1,,,-0.3,0.9,0.3315285048191269,0.20416666666666664
