,unique,ei-tuotos-tyyppia,henkiloestoeliikkuvuudet-lkm,julkaisut,kasikirja,koulutus,muu-tuotos,ohjelma,opiskelijaliikkuvuudet-lkm,raportti,selvitys,tapahtuma,toimintamalli,tutkimus,verkkosivut,min,max,std,mean
0,100Etelä-Karjalan KoulutuskuntayhtymäRETEE - Reformia tekniikan aloille,,,,,,4,,,,,,,,1,0.0,0.4,0.03535533905932739,0.15000000000000002
1,100Helsinki Business College OyPopUpCollege - ketterästi kokeillen,,,,,,1,,,,,,1,,1,0.0,0.4,,0.13333333333333333
2,100Hengitysliitto ryOsaamislautaset - osaavaa työvoimaa ravintola- ja catering-alalle,,,,,,6,,,,,,,,,-0.7,0.9,0.6841735581874341,0.12222222222222223
3,100Invalidisäätiö srReformi Telmassa - muutos mahdollisuudeksi,,,,,,1,,,,,,1,,1,-0.1,0.0,,-0.03333333333333333
4,100Invalidisäätiö srUra On- Urasuunnittelulla osaaminen näkyväksi,,,,,,1,,,,,,,,2,0.0,0.7,0.2309401076758503,0.3444444444444444
5,100Koulutuskeskus Salpaus -kuntayhtymäAsiakkuuden hallinta-Asiakaslähtöisyys toiminnan perustana,,,,,,2,,,1,,,2,,,0.0,0.2,0.04714045207910319,0.08
6,"100Luksia, Länsi-Uudenmaan koulutuskuntayhtymäPRIKKA – parastetaan ja rustataan idearikkaita käytäntöjä ja kulttuureja ammatilliseen koulutukseen ",,,,,,,,,,,,,,3,0.0,0.1,,0.03333333333333333
7,100Marttayhdistysten liitto ryYtimet haltuun,,,,,,7,,,,,,5,,3,-0.5,0.7,0.19343240385407193,0.11638888888888889
8,100Oulun seudun koulutuskuntayhtymä (OSEKK)Amis osaa,,,,,,3,,,1,,,5,,,-0.3,0.9,0.2821998288183367,0.2900617283950617
9,100Perho Liiketalousopisto OyKOPPI - Koulutukseen parempia palvelukokemuksia ja innovaatioita,,,,,,,,,,,,,,1,0.0,0.3,0.15275252316519464,0.16666666666666666
10,100Svenska Österbottens förbund för utbildning och kulturKärnprocesser i yrkesutbildningen - KÄPY,,,,,,,,,,,,,,1,0.0,0.0,,0.0
11,101Ammattiopisto Spesia Oy / Ammattiopisto SpesiaMuutosjohtAMEO ,,,,,,2,,,1,,,2,,1,0.0,0.4,0.20615528128088306,0.029166666666666664
12,101Espoon seudun koulutuskuntayhtymä OmniaYhdessä tulevaan,,,,,,4,,,,,,9,,1,-0.4,0.8,0.22428865563693626,0.15812925170068032
13,101Kotkan-Haminan seudun koulutuskuntayhtymäJohtajat Yhdessä Muutoksen Ytimessä - JYMY,,,,,,,,,,,,1,,1,-0.2,0.1,0.08363976920999791,0.006666666666666666
14,101Salon seudun koulutuskuntayhtymäPOMO - Pomokillasta osaamista muutosjohtamiseen,,,,,,4,,,,,,2,,3,-0.1,0.4,0.1041770791800178,0.06555555555555555
15,103Axxell Utbildning AbMå bra tillsammans,,,,,,,,,,,,5,,2,-0.5,0.2,,0.01428571428571429
16,"106Etelä-Savon Koulutus Oy, Etelä-Savon ammattiopistoVETO-LAKU",,,,,,2,,,,,,,,,0.0,0.2,,0.1
17,106Hengitysliitto ryLaatu vieköön! - Laadulla ja tiedolla tulevaisuuteen,,,,,,3,,,1,,,,,,0.0,0.6,0.21213203435596426,0.2125
18,106Jyväskylän koulutuskuntayhtymäSamassa veneessä 5 - Puhuria purjeisiin,,,,,,5,,,,,,1,,,0.0,0.8,0.21173787899515614,0.25277777777777777
19,106Keski-Uudenmaan koulutuskuntayhtymäLARK 7 - Kohti itsearviointia,,,,,,1,,,,,,,,,-0.1,-0.1,,-0.1
20,106Marttayhdistysten liitto ry / Oulun Palvelualan OpistoLaadulla reformiin 2,,,,,,3,,,,,,,,,0.0,0.0,,0.0
21,106Oulun seudun koulutuskuntayhtymäLaatusampo 5,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0
22,106Pohjois-Karjalan koulutuskuntayhtymäLOISTE V,,,,,,1,,,,,,1,,,0.1,0.5,,0.3
23,106Salon seudun koulutuskuntayhtymäHyvin tekemistä länteen 2018,,,,,,4,,,,,,3,,3,-0.1,0.8,0.33733382659365857,0.15166666666666667
24,106Suomen DiakoniaopistoYhdessä eteenpäin 6,,,,,,1,,,,,,1,,2,-0.7,0.4,0.2284658428302685,0.06875
25,106Svenska Österbottens förbund för utbildning o kultur/Yrkesakademin i ÖsterbottenWorking Quality - Quality in Work (senare WQ),,,,,,,,,1,,,,,,0.1,0.1,,0.1
26,106Tampereen Aikuiskoulutussäätiö sr/Tampereen AikuiskoulutuskeskusPikku hukka kakkonen,,,,,,,,,,,,,,1,0.0,0.1,0.05773502691896259,0.03333333333333333
27,106Turun konservatorion kannatusyhdistys ry. Konservatorioiden kehittyvä ohjausosaaminen: opettaja personal traineriksi,,,,,,,,,1,,,,,1,0.0,0.1,,0.05
28,106Valkeakosken seudun koulutuskuntayhtymäVertaisarvioinnilla tulosta,,,,,,,,,,,,2,,,0.0,0.0,,0.0
29,106Valtakunnallinen valmennus-ja liikuntakeskus PajulahtiJUUPEDA- JotainUuttaUrheiluopistoPEDAgogiikassa,,,,,,,,,3,,,,,,0.0,0.3,,0.16666666666666666
30,111Akaan kaupunkiAkaan kaupungin tutortoiminnan kehittäminen ja vakiinnuttaminen  ,,,,,,,,,,,,1,,,0.0,0.3,0.15275252316519464,0.16666666666666666
31,111Alajärven kaupunkiYhdessä hyvä tulee 2,,,1,,,2,,,,,,,,,0.0,0.0,0.0,0.0
32,111Alavieskan kuntaTaitavana Tutorina Alavieskan yhtenäiskoulussa II,,,,,,,,,,,,3,,,0.0,0.9,0.34246122338833085,0.27555555555555555
33,111Alavuden kaupunkiTutoropettajien Toiminta 2,,,,,,,,,,,4,,,,0.0,0.5,,0.15
34,111Anna Tapion säätiö srTutor-opettaja,,,1,,,,,,,,,,,,0.3,0.3,,0.3
35,111Apollon Yhteiskoulun kannatusyhdistys ryTutoropettajien toiminta ja kouluttaminen Apollossa,,,1,,,,,,,,1,,1,,-0.2,0.8,0.31857150384778365,0.039999999999999994
36,111Askolan kuntaAskolan kehittyvät tuutorit,,,,,,,,,,,1,1,,,0.1,0.2,,0.15000000000000002
37,111Björneborgs svenska samskolas aktiebolagTutorlärarnas verksamhet och utbildning,,,,,,1,,,,,,,,,0.3,0.3,,0.3
38,111CONFIDO Pohjanmaan Kristillinen Kasvatus - Österbottens Kristliga Uppfostran rySuperope - TVT-osaamisen kartuttaminen ja osaamisen jakaminen.,,,,,,,,,,,,1,,,0.0,0.9,0.3271085446759225,0.48
39,111Elias-Koulun Kouluyhdistys ryTutoropettajien toiminta ja kouluttaminen,,,,,,,,,,,,1,,,0.0,0.0,,0.0
40,111Enonkosken kuntaPedagogiikan uudistamista Enonkoskella,3,,,,,,,,,,,,,,0.0,0.5,,0.2333333333333333
41,111Esbo stadLära tillsammans i vardagen – tutorlärarverksamhet i Esbo,,,1,,,,,,,,,1,,,0.0,0.5,0.2516611478423583,0.13333333333333333
42,111Espoon kaupunkiUusi espoolainen peruskoulu ja sen mahdollistajat 2,,,,,,,,,,,7,,,,-0.2,0.2,0.12071067811865477,-0.014285714285714287
43,111Espoon kristillisen koulun kannatusyhdistys ryTUTOR,,,,,,,,,,,,1,,,0.0,0.1,0.05345224838248488,0.042857142857142864
44,111Etelä-Pohjanmaan Steinerkouluyhdistys r.y.Suomen steinerkoulujen TVT -tutortoiminnan ja -strategian kehittäminen,,,,,,,,,,,1,1,,,0.0,0.7,0.3340899137937354,0.22499999999999998
45,111Eurajoen kuntaTutoropettajien toiminta ja kouluttaminen Eurajoki,,,1,,,,,,,,1,1,,,0.0,0.0,,0.0
46,111Euran kuntaUuden opetussuunnitelman jalkauttaminen Eurassa,,,,,,,,,,,1,1,1,,0.0,0.6,0.0,0.3
47,111Evijärven kuntaDigiloikan askeleet,,,,,,,,,,,,1,,,0.0,0.8,0.5656854249492381,0.4
48,111Forssan kaupunkiTutortoiminnan juurruttaminen osaksi perusopetusta,,,,,,,,,,,2,,,,0.0,0.4,,0.2
49,111Haapajärven kaupunkiTutorin tuella,,,,,,,,,,,,2,,,0.1,0.3,,0.2
50,111Haapaveden kaupunkiTutorit vauhdittamaan OPS-uudistusta 2,,,,,,,,,,,,1,,,-0.1,0.9,0.3625307868699863,0.3
51,111Halsuan kuntaTutor tueksi ,2,,,,,,,,,,,,,,-0.4,0.6,0.31628814142421213,0.12333333333333332
52,111Haminan kaupunkiTutoropettajien toiminta ja edelleen kouluttaminen Haminassa,,,,,,,,,,,,1,,,0.0,0.0,,0.0
53,111Hangö stadGemensam tutorlärarverksamhet för Hangö stads grundskolor enligt den nya lokala läroplanen 2.0,,,1,,,,,,,,1,,1,,-0.4,0.6,0.17677669529663692,0.18333333333333335
54,111Harjavallan kaupunkiHarjavalta - kohti uutta pedagogiikkaa,,,,,,,,,,,,3,,,-0.1,0.2,,0.03333333333333333
55,111Hartolan kuntaTutoropettajan toiminta ja kouluttaminen,,,1,,,1,,,,,,,,,0.0,0.5,0.24748737341529164,0.175
56,111Hattulan kuntaTutoropettajien toimintaan ja kouluttamiseen,,,,,,,,,,,1,1,,,0.0,0.1,0.07071067811865478,0.05
57,111Heinolan kaupunkiTutoropettajien toiminta Heinolassa,,,,,,,,,,,,1,,,-0.1,0.3,0.23094010767585035,0.16666666666666666
58,111Heinäveden kuntaTutorhanke,,,,,,,,,,,3,2,1,,-0.1,0.5,0.12374368670764582,0.15833333333333333
59,111Helsingin Rudolf Steiner -koulun kannatusyhdistys ryDigiloikka Helsingin Rudolf Steiner -koulussa,,,,,,,,,,,1,1,,,0.2,0.3,,0.25
60,111Helsingin Uusi yhteiskoulu OsakeyhtiöDigitutorit vertaistukena,,,1,,,,,,,,,2,,,0.0,0.8,0.27921943918990555,0.2316666666666667
61,111Helsingin kaupunki/Kasvatuksen ja koulutuksen toimialaHelsingin suomen- ja ruotsinkielinen tutoropettajaverkosto 2.0,,,,,,,,,,,9,2,,,0.0,0.7,0.14708693970125206,0.1212121212121212
62,111Helsingin yliopiston Viikin normaalikouluDigitutortoiminta II - Hgin yliopiston harjoittelukoulut,,,1,,,,,,,,1,1,1,,0.0,0.3,0.05773502691896259,0.10833333333333334
63,111Hollolan kuntaKärkihanke 1 Tutorpettajan toiminta ja kouluttaminen 2017,,,,,,,,,,,,1,,,-0.4,0.3,0.18973665961010275,0.04
64,111Huittisten kaupunkiTutoropettajat muutosagentteina,,,,,,1,,,,,,,,,0.0,0.0,,0.0
65,111Humppilan kuntayhdessä eteenpäin,,,,,,,,,,,3,,,,-0.2,0.8,,0.30000000000000004
66,111Hyrynsalmen kuntaTutorapua digioppimiseen,,,,,,,,,,,,,1,,0.3,0.8,0.2645751311064591,0.6
67,111Hyvinkään kaupunkiPedagogiset kouluttajat opettajan työn tukena,,,1,,,1,,,,,1,1,,,-0.4,0.9,0.27666340302879006,0.26452380952380955
68,111Hämeenkyrön kuntaVirtaa digiloikasta,,,2,,,,,,,,,,,,0.3,0.7,,0.5
69,111Hämeenlinnan kaupunkiTutoropettajien toiminta ja kouluttaminen Hämeenlinnassa 2018-2019,,,,,,,,,,,8,1,,,-0.5,0.6,0.09928371852552292,0.05569444444444444
70,111Iin kuntaIin tutoropettajat digitaalisen ja pedagogisen kehittämisen tukena,,,,,,,,,,,,1,,,0.4,0.5,0.07071067811865474,0.45
71,111Iisalmen kaupunkiTOP-opet huipulle,,,,,,1,,,,,1,,,,0.3,0.4,0.07071067811865478,0.375
72,111Iitin kuntaDigitaidot käyttöön alakouluissa - kisälleistä mestareiksi,,,1,,,1,,,,,,2,,,0.1,0.2,,0.15
73,111Ikaalisten kaupunkiTutoropettaja osaamisen ja toimintakulttuurin kehittäjänä,,,,,,,,,,,1,1,1,,0.0,0.2,,0.10000000000000002
74,111Ilmajoen kuntaTutoreille oppia ja hommia II,,,,,,,,,,,,1,,,0.0,0.3,0.17320508075688773,0.2
75,111Imatran kaupunkiAskel Askeleelta Kohti Uutta Pedaa,,,1,,,,,,,,,,,,0.0,0.0,,0.0
76,111Inarin kuntaInarilainen tutorope,,,,,,1,,,,,,1,,,0.0,0.4,0.11969702408240605,0.09666666666666666
77,111Inkoon kuntaTutoropettajatoiminta,,,,,,,,,,,1,,1,,0.0,0.2,0.0,0.1
78,111Isonkyrön kuntaTutoropettajien toiminta ja kouluttaminen,,,,,,,,,,,1,,,,0.6,0.6,,0.6
79,111Itä-Suomen suomalais-venäläisen koulun säätiö srTutoropettajat opetuksen kehittäjinä,,,,,,,,,,,,,1,,0.0,0.0,,0.0
80,111Itä-Suomen yliopistoTutoropettajien toiminta ja kouluttaminen 2017,,,,,,,,,,,,1,,,0.1,0.1,,0.1
81,111Janakkalan kuntaTutoropettajat pedagogisina toimijoina ja tiedon jakajina,,,,,,,,,,,,1,,,0.1,0.1,,0.1
82,111Joensuun kaupunkiJoensuun tutoropettajien toiminta ja kouluttaminen,,,3,,,,,,,,,1,,,0.0,0.7,0.2804589020632755,0.24750000000000003
83,111Jokioisten kuntaUutta pedagogiikkaa jokaiseen koulupäivään,,,,,,,,,,,2,,1,,0.1,0.4,,0.19999999999999998
84,111Joroisten kuntaDigiloikasta digiarkeen,,,,,,,,,,,,1,,,0.5,0.5,,0.5
85,"111Kangasalan kuntaKangasalan tutorien toiminta ja koulutus, jatkohanke",,,1,,,,,,,,,1,1,,-0.1,0.3,,0.06666666666666667
86,111Kauniaisten kaupunkiGrani Digitutors,,,1,,,,,,,,2,1,,,0.0,0.7,0.282842712474619,0.175
87,111Kimitoöns kommunKimitoöns digitutorer 2 - KidIT 2,,,1,,,1,,,,,,,,,0.0,0.0,,0.0
88,111Korsholms kommunDiGiTu - digikompetens för alla,1,,,,,,,,,,,,,,-0.1,-0.1,,-0.1
89,111Kotka Svenska Samskolas garantiförening r.f.Tutorlärare i KSS,,,,,,1,,,,,,,,,0.0,0.0,,0.0
90,111KristiinankaupunkiA) tutoropettajien toiminta ja kouluttaminen (yhteisesti ruotsinkielisille ja suomenkielisille kouluille kunnassamme,,,,,,,,,,,1,1,,,0.0,0.8,0.4618802153517007,0.13333333333333333
91,111Kronoby kommunTutorlärande i Kronoby kommun 2,,,,,,,,,,,,,1,,0.2,0.2,,0.2
92,111Laitilan kaupunkiVakka-Suomen​ ​OPS​-luotsit ,,,1,,,1,,,,,,,1,,0.0,0.4,0.20606601717798215,0.18333333333333335
93,111Lapinjärven kuntaKoko kylän koulu,,,1,,,,,,,,,,,,0.0,0.0,,0.0
94,111Lapinlahden kuntaTutor-opettajien toiminta ja kouluttaminen Lapinlahdella,,,,,,1,,,,,,,,,0.0,0.1,0.05773502691896259,0.03333333333333333
95,111Lappajärven kuntaTutorointia järven ympäri,1,,,,,,,,,,,,,,-0.5,-0.5,,-0.5
96,"111Lappeenrannan kaupunkiInnostuva, uudistuva Lappeenranta - Tutortoiminta 2018",,,1,,,,,,,,1,3,,,-0.1,0.9,0.2896365145132071,0.23777777777777773
97,111Lappeenrannan seudun steinerkoulun kannatusyhdistys r.y.Lappeenrannan steinerkoulun digitutor,,,,,,,,,,,,1,,,0.5,0.5,,0.5
98,111Lapuan kaupunkiIso ilmiö II -kaikki yhdessä,,,,,,,,,,,1,1,,,0.0,0.9,0.21047434621351005,0.19166666666666665
99,111Larsmo kommunTutor 2.0,,,,,,,,,,,,2,,,0.2,0.6,,0.4
100,111Laukaan kuntaLaukaan tutoropettajien toiminta ja osaamisen kehittäminen,,,2,,,1,,,,,,2,1,,-0.3,0.7,0.3535533905932738,0.1333333333333333
101,111Lauttasaaren yhteiskoulun kannatusyhdistys ryLauttasaaren yhteiskoulun tutoropettajatoiminta,,,2,,,,,,,,,,,,0.0,0.0,,0.0
102,111Lemin kuntaTutoropettajat Lemillä,,,1,,,,,,,,,1,,,0.0,0.2,0.11547005383792515,0.06666666666666667
103,111Lempäälän kuntaLempäälän tutoropettajat,,,1,,,,,,,,,2,,,-0.1,0.0,,-0.03333333333333333
104,111Leppävirran kuntaTutoropettajien toiminta ja kouluttaminen 2017,1,,,,,,,,,,,,,,0.0,0.1,0.07071067811865478,0.05
105,111Lestijärven kuntaLestin tutorit ,,,,,,,,,,,1,1,,,-0.1,0.1,,0.0
106,111Liedon kuntaLiiketuudor 2,,,,,,2,,,,,1,,1,,0.0,0.8,0.5656854249492381,0.17500000000000002
107,111Lieksan kaupunkiTUTOROPETTAJIEN TOIMINTA JA KOULUTTAMINEN,,,,,,,,,,,1,1,,,0.0,0.2,,0.1
108,111Limingan kuntaToimintaspurtista toimintakulttuurin muutokseen,,,3,,,1,,,,,,1,1,,-0.7,0.9,0.3219778864669875,0.2188888888888889
109,111Liperin kuntaTutortoiminnan jatko,,,1,,,,,,,,,,,,0.0,0.0,,0.0
110,111Lohjan kaupunkiDigitutor 2.0,,,1,,,,,,,,,,1,,-0.1,0.1,0.1,0.0
111,111Loimaan kaupunkiTutoropettajien toiminta ja kouluttaminen,,,,,,,,,,,1,1,1,,-0.1,0.7,,0.3333333333333333
112,111Lopen kuntaTutoropettajien toiminta ja kouluttaminen,,,,,,,,,,,,1,,,0.0,0.6,0.2516611478423583,0.25
113,111Loviisan kaupunkiTutorit apuun - kahdella kielellä 2,,,,,,1,,,,,,,,,0.1,0.3,0.1414213562373095,0.2
114,111Lumijoen kuntaTutoropettajien toiminta ja kouluttaminen,,,,,,,,,,,1,1,1,,0.0,0.5,0.15118446353109127,0.11666666666666668
115,111Luumäen kuntaLuumäen kunnan tutor-opettajatoiminta,,,1,,,,,,,,,1,,,0.0,0.1,0.05773502691896259,0.016666666666666666
116,111Malax kommunTutorlärarteam i Malax och Korsnäs kommuner,,,,,,1,,,,,,,,,0.0,0.3,0.21213203435596426,0.15
117,111Maskun kuntaOSAAMO,5,,,,,,,,,,,,1,,-0.7,0.5,0.14142135623730953,-0.5166666666666666
118,"111Merijärven kuntaUusi pk- ohjelma, tutor-toiminta 2",,,3,,,,,,,,2,,,,0.0,0.3,0.028867513459481294,0.08666666666666667
119,111Merikarvian kuntaMerikarvian peruskoulujen Tutoropettajien toiminta ja kouluttaminen,,,,,,,,,,,,1,5,,-0.3,0.9,0.2512188323544929,-0.04722222222222222
120,111Mikkelin kaupunkiMikkelin tutorit 2018-2019,,,3,,,,,,,,,,,,-0.4,0.3,0.36055512754639896,0.0
121,111Muhoksen kuntaKärkihanke 1 - hakuryhmä A: tutoropettajien  toiminta ja kouluttaminen,,,1,,,,,,,,,1,,,0.0,0.6,0.15275252316519464,0.21666666666666665
122,111Muonion yhtenäiskouluTunturitutorit,1,,,,,,,,,,,,,,-0.1,-0.1,,-0.1
123,111Mustasaaren kuntaTutoropettajien toiminta ja kouluttaminen,,,,,,,,,,,1,,,,0.0,0.0,,0.0
124,111Muuramen kuntaMuuramen tutoropettajien toiminta ja kouluttaminen,,,,,,,,,,,2,,,,0.0,0.0,,0.0
125,111Mynämäen kuntaTutoropettajat Mynämäessä II,2,,,,,,,,,,,,,,0.0,0.2,,0.1
126,111Mäntsälän kuntaMäntsälän tutortoiminta,,,,,,,,,,,1,,,,0.2,0.2,,0.2
127,111Mänttä-Vilppulan kaupunkiTaidekaupungin digitutorit,1,,,,,,,,,,,,,,0.0,0.2,0.11547005383792518,0.06666666666666668
128,111Mäntyharjun kuntaTutoropettajat toimimaan,,,,,,,,,,,,,3,,-0.8,0.4,0.0,-0.13333333333333333
129,111Naantalin kaupunkiTutoropettajien toiminta ja kouluttaminen,,,,,,,,,,,1,1,,,0.1,0.3,,0.2
130,111Nakkilan kuntaNakkilan digikeikka,,,2,,,,,,,,1,,,,-0.1,0.4,0.17028886969679083,0.05555555555555556
131,"111Nivalan kaupunkiTutoropettajien toiminta ja kouluttautuminen, Nivala",,,,,,,,,,,1,,,,0.0,0.0,,0.0
132,111Nokian kaupunkiTutoropettajat opetuksen uudistajina,,,,,,,,,,,,1,,,0.4,0.8,0.204939015319192,0.6200000000000001
133,111Nousiaisten kuntaNousiaisten tutoropettajien toiminta ja kouluttaminen,,,,,,,,,,,,1,,,0.0,0.0,,0.0
134,111Nurmeksen kaupunkiOpe-Tutorit,,,,,,,,,,,,1,,,0.4,0.4,,0.4
135,111Nurmijärven kuntaNurmijärven tutoropettajat – opetuksen ja oppimisen pedagogiset kehittäjät,,,,,,,,,,,,1,,,0.7,0.8,0.07071067811865482,0.75
136,111Nykarleby stadNET 2.0,,,1,,,,,,,,,,1,,0.2,0.6,,0.4
137,111Närpes stadTutorlärarnas verksamhet och utbildning,,,1,,,,,,,,,,,,0.2,0.2,,0.2
138,111Orimattilan kaupunkiTutoropettajien toiminta ja kouluttaminen,,,,,,,,,,,,1,,,-0.2,0.1,0.21213203435596428,-0.05
139,111Oripään kuntaOripään kunnan tutoropettajien toiminta ja kouluttaminen 2018,,,,,,,,,,,1,,,,-0.2,-0.2,,-0.2
140,111Oriveden kaupunkiOriveden tutoropettajien toiminta,,,1,,,,,,,,,3,,,-0.1,0.9,0.30493578554618384,0.20666666666666667
141,111Oulaisten kaupunkiOulaisten koulujen digitutortoiminta 2018-2019,,,1,,,,,,,,1,1,1,,0.0,0.2,,0.07500000000000001
142,111Oulun Steinerkoulun kannatusyhdistys ryOulun steinerkoulun TVT-tutortoiminnan ja -strategian kehittäminen sekä tutortoiminnan vakiinnuttaminen,,,,,,,,,,,,1,,,0.1,0.1,,0.1
143,111Oulun kaupunkiAlakko nää opettajatutoria?,,,1,,,,,,,,,1,,,-0.1,0.9,,0.4
144,111Oulun kristillinen kasvatus rytutordigiloikka@oukris_2,,,,,,,,,,,1,1,,,0.0,0.4,0.11973535956688551,0.16136363636363638
145,"111Oulun yliopisto, Oulun normaalikoulu KEHYS Kehittyvä yhteistyö",,,,,,,,,,,5,2,1,,-0.1,0.1,,0.0
146,111Oulunkylän Yhteiskoulun kannatusyhdistys r.y.Tutoropettajien toiminta,,,,,,,,,,,3,2,,,-0.3,0.3,,-0.020000000000000007
147,111Outokummun kaupunkiTutoreiden tuella tulevaa rakentaen,,,,,,,,,,,,1,,,0.0,0.4,0.20615528128088306,0.175
148,111Padasjoen kuntaPadasjoki Tutoropettajien koulutus ja toiminta 2,,,,,,3,,,,,,3,,,-0.4,0.6,0.05773502691896256,0.13888888888888887
149,111Paimion kaupunkiTutoropettajien toiminta ja kouluttaminen,,,,,,,,,,,,1,,,0.3,0.3,,0.3
150,111Paraisten kaupunkiTutorointi vakiintuu koulujen yhteistyössä,,,,,,,,,,,,1,,,-0.3,0.1,0.28284271247461906,-0.1
151,111Pargas stadSkärgårdens nya grundskola,,,1,,,,,,,,,,,,-0.1,0.9,0.7071067811865476,0.4
152,111Parkanon kaupunkiBittejä ja pedagogiikkaa,,,,,,,,,,,,1,,,0.0,0.7,0.2774887385102321,0.28
153,111Pedersöre kommunTutorverk 2.0 Pedersöre,,,,,,,,,,,,2,,,0.1,0.3,,0.2
154,111Pellon kuntaDigitutoropettajatoiminnan vakiinnuttaminen Pellon peruskoulussa,,,1,,,,,,,,,1,,,-0.5,0.4,0.29268868558020256,0.15833333333333333
155,111Perhon kuntaPerhon tutoropettajien koulutus ja toiminta,,,,,,1,,,,,1,,,,0.0,0.2,,0.1
156,111Pertunmaan kuntaTutoropettaja - pienen kunnan koulujen kehittäjä,1,,,,,,,,,,,,,,-0.7,0.6,0.9192388155425116,-0.04999999999999999
157,111Pieksämäen kaupunkiTutoropettaja toiminta ja kouluttaminen 2017,1,,,,,,,,,,,,,,0.5,0.5,,0.5
158,111Pielaveden kuntaTutoropettajatoiminnan jatkaminen,,,1,,,,,,,,,1,,,0.0,0.5,0.2886751345948129,0.13333333333333333
159,111PietarsaariPietarsaaren koulujen digitutortoiminnan kehittäminen,,,,,,,,,,,1,,,,0.2,0.2,,0.2
160,111Pirkkalan kuntaTutor-toiminnan kehittäminen ja vakiinnuttaminen Pirkkalassa,,,,,,,,,,,,1,,,0.0,0.5,0.22360679774997896,0.2
161,111Pohjois-Haagan yhteiskoulu oyTutoropettajien toiminta ja kouluttaminen,,,1,,,,,,,,,,,,-0.1,-0.1,,-0.1
162,111Polvijärven kuntaPolvijärven tutoropettajien toiminta ja kouluttaminen,,,,,,3,,,,,,,,,0.0,0.0,,0.0
163,111Porin Kristillisen koulun kannatusyhdistys ryTutoropettaja verkostoituu ja valmentaa,,,,,,,,,,,,2,,,0.0,0.1,,0.05
164,111Porin kaupunkiTutoropettajat pedagogiikan edistäjinä,,,,,,,,,,,3,2,2,,-0.4,0.6,0.16518297090128672,0.10238095238095239
165,111Pornaisten kuntaPornaisten tutoropettajat,,,1,,,,,,,,,,,,0.0,0.0,,0.0
166,111Porvoon kaupunkiPorvoon Tutoropettajat - Tutorlärarna i Borgå,,,,,,,,,,,1,2,,,0.0,0.6,,0.26666666666666666
167,111Posion kuntaTutoropettajan toiminta ja kouluttaminen Posion peruskoululla,,,,,,,,,,,2,1,,,-0.1,0.2,,0.03333333333333333
168,111Punkalaitumen kuntaTutoropettajien toiminta ja kouluttaminen,,,,,,,,,,,2,,1,,-0.1,0.0,,-0.03333333333333333
169,111Puumalan kuntaOsaava ja toimiva tutor,1,,,,,,,,,,,,,,0.0,0.0,,0.0
170,111Pyhännän kuntaTutortoimintaa Pyhännälle 2,1,,,,,,,,,,,,,,0.0,0.0,,0.0
171,111Pyhärannan kuntaVakka-Suomen OPS -luotsit,,,1,,,1,,,,,,,1,,0.0,0.4,0.20606601717798215,0.18333333333333335
172,111Pälkäneen kuntaTutorina koulun arjessa ja kehittämistyössä,,,,,,,,,,,1,1,,,0.1,0.5,,0.3
173,"111Raahen kaupunki, opetustoimiTutor tueksi tunnille III -hanke",,,2,,,,,,,,2,1,,,0.0,0.4,0.28284271247461906,0.1
174,111Raaseporin kaupunkiRaaseporin Into,,,1,,,1,,,,,1,,,,-0.1,0.5,0.15260547637441382,0.11944444444444442
175,111Raision kaupunkiOta haltuun ja jaa!,,,,,,,,,,,1,2,1,,-0.4,0.7,0.19005207062388083,0.13124999999999995
176,111Rantasalmen kuntaRantasalmen tutorit,,,,,,,,,,,1,,,,0.3,0.3,,0.3
177,111Rauman kaupunkiRauman OPS-koutsit - tutorkoulutusta ja -toimintaa opettajille,,,1,,,,,,,,,,,,0.9,0.9,,0.9
178,111Rautalammin kuntaRautalammin opettajat digiaikaan,1,,,,,,,,,,,,,,-0.7,0.3,0.4320493798938573,-0.1
179,111Rautavaaran kuntaTutoropettajatoiminnan kehittäminen,,,,,,,,,,,,1,,,0.5,0.5,,0.5
180,111Reisjärven kunta/koulutoimiTutoropettajien toiminnan käynnistäminen ja kouluttaminen sekä digitalisaation syventäminen,,,,,,,,,,,,1,,,-0.2,0.8,0.4159326868617085,0.24000000000000005
181,111Riihimäen kaupunkiTutorope Riihimäellä,1,,,,,,,,,,,,,,0.4,0.8,0.28284271247461906,0.6000000000000001
182,111Ristijärven kuntaTutorointia digi-arkeen,1,,,,,,,,,,,,,,0.5,0.5,,0.5
183,111Ruokolahden kuntaKohti uutta koulua - tutorit toimii Ruokolahdella,1,,,,,,,,,,,,,,0.0,0.0,,0.0
184,111Ruskon kuntaME - yhteistyöstä yhdessä tekemiseen,1,,1,,,,,,,,,,,,0.0,0.1,,0.05
185,111Rääkkylän kuntaTutorit,,,,,,,,,,,,1,,,-0.1,-0.1,,-0.1
186,111Sallan kuntaHyvää digiarkea etsimään kodin ja koulun yhteistyönä,1,,,,,1,,,,,3,,1,,-0.7,0.2,0.14142135623730953,-0.06666666666666665
187,111Salon kaupunkiTutoropettaja opettajan osaamisen kehittämisen tukena,,,,,,,,,,,,1,,,-0.3,0.5,0.30331501776206204,0.1
188,111Sastamalan kaupunkiSastamalan tutoropettajat,,,,,,,,,,,,2,,,0.0,0.5,0.2645751311064591,0.1
