,unique,haku_id,osa_alue_id,osa_alue_nimi
46,"11Turun kaupunki, TOP-keskusOpen merkit - yksilöllinen osaamisen kehittäminen ja sen näkyväksi tekeminen",11,1,01 Varhaiskasvatus
47,"11Jyväskylän yliopisto, Koulutusjohtamisen instituuttiMinustako rehtori? Rehtorin tehtäviin valmentava koulutus",11,1,01 Varhaiskasvatus
48,11Metropolia AmmattikorkeakouluOpen ohjelmointi,11,1,01 Varhaiskasvatus
49,11HY+ OyDigiKehittäjäopettaja,11,1,01 Varhaiskasvatus
50,"11Jyväskylän yliopisto, Koulutusjohtamisen instituuttiCritical Friends - rehtorit ja yritysjohto yhdessä",11,1,01 Varhaiskasvatus
51,11Suomen ympäristöopisto SYKLIKaupunkisuunnittelu laaja-alaisen oppimisen innoittajana II,11,1,01 Varhaiskasvatus
52,11HY+ OyMobiililoikka leikkiin,11,1,01 Varhaiskasvatus
53,"11Matemaattisten Aineiden Opettajien Liitto, MAOL ryOhjelmointi ja koodaus peruskoulun matematiikassa",11,1,01 Varhaiskasvatus
54,11Haaga-Helia Ammatillinen opettajakorkeakouluESSI - Esteetön ja digitaalinen kansalaisopisto,11,1,01 Varhaiskasvatus
55,11Kokkolan kaupunkiLukion opettajuus päivittyy  ohjaamaan tulevaisuuden osaamiseen,11,1,01 Varhaiskasvatus
56,11Hämeen ammattikorkeakoulu OymOPO ei karkaa käsistä,11,1,01 Varhaiskasvatus
57,"11Matemaattisten Aineiden Opettajien Liitto, MAOL ryTieto- ja viestintäteknologian pedagoginen hyödyntäminen matematiikassa, fysiikassa ja kemiassa",11,1,01 Varhaiskasvatus
58,11Lapin yliopisto / Koulutus- ja kehittämispalvelutLukioiden sähköiset oppimisalustat käyttöön 10 op,11,1,01 Varhaiskasvatus
59,11Toimihenkilöjärjestöjen Opintoliitto ry / Helsingin aikuisopistoAikuisten maahanmuuttajien luku- ja kirjoitustaidon opettajaksi valmentava koulutus,11,1,01 Varhaiskasvatus
60,"11Opettajankoulutuslaitos, Helsingin yliopistoLukioiden kehittyvä ja sähköistyvä arviointikulttuuri – Arviointi aktiivisen ja tavoitteellisen oppimisen tukena",11,1,01 Varhaiskasvatus
61,11Itä-Suomen yliopisto / AducateKasva johtajana,11,1,01 Varhaiskasvatus
62,"11Lapin yliopisto / Koulutus- ja kehittämispalvelutKOHO - Kohti oppimista, kotoutumista ja kasvua",11,1,01 Varhaiskasvatus
63,11Niilo Mäki InstituuttiOppimisen ja hyvinvoinnin kokonaisvaltainen tuki erilaisille oppijoille,11,1,01 Varhaiskasvatus
64,"11Jyväskylän kaupunki, Sivistyksen toimiala, Varhaiskasvatus ja perusopetusKoulussa digittää - Yhteisöllistä ja kestävää täydennyskoulutus Keski-Suomessa",11,1,01 Varhaiskasvatus
65,11PRO koulutus ja konsultointi OyCOACHAAVA PEDAGOGINEN JOHTAJA ,11,1,01 Varhaiskasvatus
66,"11Oulun yliopisto, Täydentävien opintojen keskusKoko koulu kotouttaa",11,1,01 Varhaiskasvatus
67,11Pro Practica OyKehittämiskouluverkosto 1 Jatko,11,1,01 Varhaiskasvatus
68,11Suomen Kuntaliitto ry.Sivistystoimen huippujohtajaohjelma 2,11,1,01 Varhaiskasvatus
69,11Suomen MielenterveysseuraHyvää mieltä yhdessä -hanke 2016-2017,11,1,01 Varhaiskasvatus
70,11Suomen Mielenterveysseura ryLapsen mielenterveyden edistäminen varhaiskasvatuksessa -hanke,11,1,01 Varhaiskasvatus
71,11Haaga-Helia Ammatillinen opettajakorkeakouluDigiOstu - maahanmuuttajien osaamisen tunnistaminen,11,1,01 Varhaiskasvatus
72,11Haaga-Helia Ammatillinen opettajakorkeakouluNäyttötutkintomestarikoulutus,11,1,01 Varhaiskasvatus
73,11Haaga-Helia Ammatillinen opettajakorkeakouluTahtoa ja taitoa tasa-arvoon,11,1,01 Varhaiskasvatus
74,11Haaga-Helia Ammatillinen opettajakorkeakouluTaidolla Duuniin,11,1,01 Varhaiskasvatus
75,11Haaga-Helia Ammatillinen opettajakorkeakouluTUTKEsta toimintaan II,11,1,01 Varhaiskasvatus
76,"11Oulun ammttikorkeakoulu Oy/Ammatillinen opettajakorkeakouluPOKA ll - Perehdy, opi, kehitä –arvioi! ",11,1,01 Varhaiskasvatus
77,"11Jyväskylän ammattikorkeakoulu, ammatillinen opettajakorkeakouluOpesta ohjaajaksi - opettaja opiskelijan toimijuuden tukena",11,1,01 Varhaiskasvatus
78,"11Jyväskylän ammattikorkeakoulu, ammatillinen opettajakorkeakouluSparraamalla paremmaksi osaajaksi - Erityinen tuki ammatillisessa aikuiskoulutuksessa",11,1,01 Varhaiskasvatus
79,"11Jyväskylän ammattikorkeakoulu, ammatillinen opettajakorkeakouluTUTKEsta toimintaan II",11,1,01 Varhaiskasvatus
80,"11Metropolia Ammattikorkeakoulu OySeksuaalisen häirinnän ennaltaehkäisy ammatillisissa oppilaitoksissa, 5 op",11,1,01 Varhaiskasvatus
81,11Oulun ammattikorkeakoulu Oy Ammatillinen opettajakorkeakouluJOHTO -Johtaminen muutoksessa,11,1,01 Varhaiskasvatus
82,11Oulun ammattikorkeakoulu Oy Ammatillinen opettajakorkeakouluNäyttötutkintomestarikoulutus,11,1,01 Varhaiskasvatus
83,11Oulun ammattikorkeakoulu Oy Ammatillinen opettajakorkeakouluYhdessä yhteisötakuuseen!,11,1,01 Varhaiskasvatus
84,"11Suomen ympäristöopisto SYKLIAmmattilaisen kädenjälki - ympäristöosaamisen tunnistaminen, hankkiminen ja arviointi",11,1,01 Varhaiskasvatus
85,11Tampereen ammattikorkeakoulu OyAmisTurvis - turvallisuus kuuluu kaikille!,11,1,01 Varhaiskasvatus
86,11Tampereen ammattikorkeakoulu OyHanskaatko – kohti parempia opiskelija- ja opettajakokemuksia,11,1,01 Varhaiskasvatus
87,11Turun yliopistoOsaamisperusteisuus ja yrittäjyyskasvatus ammatillisessa koulutuksessa,11,1,01 Varhaiskasvatus
88,"11Lapin yliopisto, KTK, Opetus- ja kasvatusalan täydennyskoulutusyksikköErityiset haasteet esiopetuksessa ja varhaiskasvatuksessa",11,1,01 Varhaiskasvatus
89,11Ilona IT OyMobiilitotaali-MOTO,11,1,01 Varhaiskasvatus
90,11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaDet nya gymnasiet - en fortsättning,11,1,01 Varhaiskasvatus
91,11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaVägkost - plan för småbarnspedagogik 2017,11,1,01 Varhaiskasvatus
92,11EkvalitaOsallistava ja oikeudenmukainen koulua - En mera inkluderande  och rättvis skola,11,1,01 Varhaiskasvatus
93,11Svenska Österbottens förbund för utbildning och kultur sknExamensmästare 2016 och Vuxenutbildningskonferens 2017,11,1,01 Varhaiskasvatus
94,11Centret för livslångt lärande vid Åbo Akademi och yrkeshögskolan NoviaRC-insatser för modern naturvetenskap i skolan,11,1,01 Varhaiskasvatus
95,11Suomen eOppimiskeskus ryOpen Päivitys 6 - Audiovisuaalinen osaaminen,11,1,01 Varhaiskasvatus
96,11AP Haglund Oy / AmazementKaikki kuvaa EDU: esiopetus,11,1,01 Varhaiskasvatus
97,"11Turun yliopisto (Opettajankoulutuslaitos, Rauman yksikkö)ELÄINTARINOITA - Oppimassa eläinten kanssa",11,1,01 Varhaiskasvatus
98,11Itä-Suomen yliopisto / AducateMaahanmuuttajalapset varhaiskasvatuksessa,11,1,01 Varhaiskasvatus
99,11Tampereen yliopistoVasu käytäntöön varhaiskasvatuksen jaetulla johtajuudella,11,1,01 Varhaiskasvatus
100,"11Turun yliopisto (Opettajankoulutuslaitos, Rauman yksikkö)VäKä - Välineitä käsityönopetuksen muutokseen",11,1,01 Varhaiskasvatus
101,"11Turun yliopisto (Opettajankoulutuslaitos, Rauman yksikkö)Vertaisryhmämentorointi varhaiskasvatuksen kehittäjänä",11,1,01 Varhaiskasvatus
102,11Metropolia Ammattikorkeakoulu OyKestävä tulevaisuus ja monialainen oppiminen ,11,1,01 Varhaiskasvatus
103,11HY+ OySanahanat auki monilukutaitoon,11,1,01 Varhaiskasvatus
104,11HY+ OyTunnista hyvä – Kotitalousopetus ja erityisen tuen tarvitsijat,11,1,01 Varhaiskasvatus
105,11Diakonia-ammattikorkeakoulu Oy (Diak)Kulttuurien ja uskontojen välinen vuorovaikutus oppilaitoksissa (5op),11,1,01 Varhaiskasvatus
106,11TaideyliopistoDigitarina laaja-alaisen osaamisen ja monilukutaidon välineenä,11,1,01 Varhaiskasvatus
107,"11Turun yliopisto (Opettajankoulutuslaitos, Rauman yksikkö)Rohkaisua ja menetelmiä 6. luokan ruotsin kielen opetukseen ",11,1,01 Varhaiskasvatus
108,11Itä-Suomen yliopistoTaitoja tulevaan elämään,11,1,01 Varhaiskasvatus
109,11Metropolia Ammattikorkeakoulu OySÄPE - Säveltämisen pedagogiikan koulutus- ja kehittämishanke,11,1,01 Varhaiskasvatus
110,11Bildningsalliansen rfFri bildning-Dela och Lär,11,1,01 Varhaiskasvatus
111,11Tampereen yliopistoOmin sanoin - kielentäminen matematiikassa ja äidinkielessä  (4 op),11,1,01 Varhaiskasvatus
112,"11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaAtt bemöta, motivera och undervisa elever med behov av särskilt stöd",11,1,01 Varhaiskasvatus
