,unique,haku_id,osa_alue_id,osa_alue_nimi
403,"48Turun kaupunki, sivistystoimialaHenkilökohtaista!",48,4,04 Ammatillinen koulutus
404,48Espoon seudun koulutuskuntayhtymä OmniaAIRE - Aidosti reformiin,48,4,04 Ammatillinen koulutus
405,48Svenska Österbottens förbund för utbildning och kultur/Yrkesakademin i ÖsterbottHandledning och kriteriebaserad bedömning,48,4,04 Ammatillinen koulutus
406,"48Svenska Österbottens förbund för utbildning och kultur skn / YA!mLearning AR - Mobilt lärande, förstärkt kunnande & spelifiering",48,4,04 Ammatillinen koulutus
407,48Svenska Framtidsskolan i Helsingforsregionen Ab / Yrkesinstitutet PrakticumFysisk aktivitet och välmående genom e-Sport ,48,4,04 Ammatillinen koulutus
408,48Jyväskylän koulutuskuntayhtymäOsuvat valinnat oikealle uralle,48,4,04 Ammatillinen koulutus
409,48Haapaveden Opiston kannatusyhdistys ryOsaamispro,48,4,04 Ammatillinen koulutus
410,48Itä-Savon koulutuskuntayhtymäJoustava henkilökohtaistaminen,48,4,04 Ammatillinen koulutus
411,48Jokilaaksojen koulutuskuntayhtymäYksilöllisyyttä sinun opintoihisi 1 (YSO 1),48,4,04 Ammatillinen koulutus
412,"48Itä-Uudenmaan koulutuskuntayhtymä, EdupoliTAIKA - tule asiakkaaksi",48,4,04 Ammatillinen koulutus
413,48Hyria koulutus OyVirtuaaliamis,48,4,04 Ammatillinen koulutus
414,48Kotkan - Haminan seudun koulutuskuntayhtymäTyönantaja-asiakkaan ääni,48,4,04 Ammatillinen koulutus
415,48Hämeen ammatti-instituutti OyLuonnonvara-alan reformin kehittäminen ja digiloikka,48,4,04 Ammatillinen koulutus
416,48Optima samkommunNya vägar för studier och examen,48,4,04 Ammatillinen koulutus
417,48Invalidisäätiö/ Keskuspuiston ammattiopistoAsennetta Tekoihin,48,4,04 Ammatillinen koulutus
418,48Keski-Uudenmaan koulutuskuntayhtymäOsaaminen näkyväksi ja valinnat sujuviksi,48,4,04 Ammatillinen koulutus
419,48Ami-säätiöOsaamisen kumppanit (OSKU),48,4,04 Ammatillinen koulutus
420,48Koulutuskeskus Salpaus - kuntayhtymäValidointitehtävä – osaavaa arviointia,48,4,04 Ammatillinen koulutus
421,"48Koulutuskeskus Salpaus -kuntayhtymäTEPPO - Tiedonhallinnalla edellytyksiä prosesseille, poluille ja osaamiselle",48,4,04 Ammatillinen koulutus
422,48Keski-Pohjanmaan koulutusyhtymäPARVESSA PAREMPI,48,4,04 Ammatillinen koulutus
423,48Ylä-Savon ammattiopistoDigilaukalla hevosalan osaajaksi,48,4,04 Ammatillinen koulutus
424,48Invalidisäätiö/Keskuspuiston ammattiopistoTehoa Telmaan Työllistymällä,48,4,04 Ammatillinen koulutus
425,48Espoon seudun koulutuskuntayhtymä OmniaLENTOON!,48,4,04 Ammatillinen koulutus
426,48Satakunnan koulutuskuntayhtymäYTOläpsy - Yksilöllinen oppiminen ja digitaaliset ratkaisut läpäisyn vauhdittajina,48,4,04 Ammatillinen koulutus
427,48Helmi LiiketalousopistoYritysLab Finland,48,4,04 Ammatillinen koulutus
428,48Hengitysliitto ry / Ammattiopisto LuoviOpin duunissa,48,4,04 Ammatillinen koulutus
429,48Etelä-Karjalan koulutuskuntayhtymä / Saimaan ammattiopisto SampoOsaaja diggaa,48,4,04 Ammatillinen koulutus
430,48Suomen Urheiluopiston kannatusosakeyhtiöUrheiluopistopedagogiikka: 24/7,48,4,04 Ammatillinen koulutus
431,48Svenska Österbottens förbund för utbildning o kultur/Yrkesakademin i ÖsterbottenVi gör tillsammans,48,4,04 Ammatillinen koulutus
432,48Hyria koulutus Oy Aha! - Asiakkuus haltuun!,48,4,04 Ammatillinen koulutus
433,48Pohjois-Karjalan koulutuskuntayhtymäLisätty todellisuus ja virtuaaliset oppimisympäristöt,48,4,04 Ammatillinen koulutus
434,48Helsinki Business College Oy/ Suomen Liikemiesten KauppaopistoPopUpCollege,48,4,04 Ammatillinen koulutus
435,"48Oulun seudun koulutuskuntayhtymä, Oulun seudun ammattiopistoDigOsPe",48,4,04 Ammatillinen koulutus
436,48Koulutuskeskus Salpaus -kuntayhtymäRocket 2020 -Rohkeasti Amis,48,4,04 Ammatillinen koulutus
437,48Jyväskylän koulutuskuntayhtymäOsaamisen elävä asiakirja,48,4,04 Ammatillinen koulutus
438,48Koulutuskuntayhtymä TavastiaKiltakoulut reformiin,48,4,04 Ammatillinen koulutus
439,48Kiipulasäätiö/Kiipulan ammattiopistoVarmuutta Valmasta,48,4,04 Ammatillinen koulutus
440,48Rovaniemen koulutuskuntayhtymäPedaLean,48,4,04 Ammatillinen koulutus
441,48Koulutuskuntayhtymä TavastiaVERTUe - Ohjaten ja vertaistukien ammattilaiseksi ,48,4,04 Ammatillinen koulutus
442,48Etelä-Karjalan koulutuskuntayhtymä/Saimaan ammattiopisto SampoDigitutor,48,4,04 Ammatillinen koulutus
443,48Länsirannikon Koulutus Oy WinNova TEKNO24/7,48,4,04 Ammatillinen koulutus
444,48Lounais-Hämeen ammatillisen koulutuksen kySIMO- Simulaatiolla moniosaajuutta isännöintiin ja kiinteistöjen kunnossapitoon,48,4,04 Ammatillinen koulutus
445,48Kotkan-Haminan seudun koulutuskuntayhtymäOsaamispolun jatkumo,48,4,04 Ammatillinen koulutus
446,48Vaasan kaupunki/Vaasan ammattiopistoREKO-reformia kohti,48,4,04 Ammatillinen koulutus
447,48Pohjois-Karjalan koulutuskuntayhtymäOpiskeluhuolto työpaikoille,48,4,04 Ammatillinen koulutus
448,48Keski-Uudenmaan koulutuskuntayhtymäLOOK - Luodaan onnistunut opiskelijakokemus,48,4,04 Ammatillinen koulutus
449,50Itä-Suomen yliopistoseura ry,50,7,07 Vapaa sivistystyö
450,50Karjalan Evankelinen Seura ry,50,7,07 Vapaa sivistystyö
451,50Varsinais-Suomen Aikuiskoulutussäätiö,50,7,07 Vapaa sivistystyö
452,50Snellman-korkeakoulun kannatusyhdistys ry,50,7,07 Vapaa sivistystyö
453,50Karstulan Evankelisen Kansanopiston Kannatusyhdistys ry,50,7,07 Vapaa sivistystyö
454,50Keski-Pohjanmaan korkeakouluyhdistys ry,50,7,07 Vapaa sivistystyö
455,"51Etelä-Karjalan koulutuskuntayhtymä, Saimaan ammattiopisto SampoVETO-REF, Laatua koulutusprosessien tuloksellisuuteen ja vaikuttavuuteen reformin hengessä",51,4,04 Ammatillinen koulutus
456,51Helsingin Diakonissalaitos / Helsingin DiakoniaopistoYhdessä eteenpäin 5 - laatustrategian toimeenpanon tuki 2017,51,4,04 Ammatillinen koulutus
457,51Hengitysliitto ry / Ammattiopisto LuoviTietoa kaikille!,51,4,04 Ammatillinen koulutus
458,51Jyväskylän koulutuskuntayhtymäSamassa veneessä 4 - Asiakkaat airoihin,51,4,04 Ammatillinen koulutus
459,51Länsirannikon koulutus Oy WinNovaHyvin tekemistä länteen 2017,51,4,04 Ammatillinen koulutus
460,51Sastamalan koulutuskuntayhtymäLEANilla tulosta,51,4,04 Ammatillinen koulutus
461,51Tampereen Aikuiskoulutussäätiö sr/Tampereen AikuiskoulutuskeskusHukka pois,51,4,04 Ammatillinen koulutus
462,51Oulun seudun koulutuskuntayhtymäLaatusampo 4,51,4,04 Ammatillinen koulutus
463,51Suomen Urheiluopiston KannatusosakeyhtiöLaadunhallinnan toimeenpano urheiluopistojen arkeen LATUA!3 - hanke ,51,4,04 Ammatillinen koulutus
464,"51Keski-Uudenmaan koulutuskuntayhtymäLARK 6 - Laatua ammatillisen koulutukseen arkeen, latua reformille",51,4,04 Ammatillinen koulutus
465,51Turun konservatorion kannatusyhdistys ry.Konservatorioiden kehittyvä vertaisarviointi ,51,4,04 Ammatillinen koulutus
466,51Kalajoen Kristillinen OpistoLaadulla reformiin!,51,4,04 Ammatillinen koulutus
467,51Svenska Österbottens förbund för utbildning o kultur/Yrkesakademin i ÖsterbottenBotnia Quality 2.0,51,4,04 Ammatillinen koulutus
468,51Pohjois-Karjalan koulutuskuntayhtymäLOISTE IV,51,4,04 Ammatillinen koulutus
469,51Kiinteistöalan Koulutussäätiö srELO -VAPA: Elinkeinoelämän oppilaitosten koulutusten vaikuttavuuden parantaminen työelämässä,51,4,04 Ammatillinen koulutus
470,53Seinäjoen koulutuskuntayhtymäHuippu-urheilijan joustavat opintopolut 5,53,4,04 Ammatillinen koulutus
471,53Hyria koulutus Oy Urheilijoiden ammatillisen koulutuksen järjestäminen,53,4,04 Ammatillinen koulutus
472,53Helsingin kaupungin opetusvirastoUrheilijoiden ammatillisen peruskoulutuksen järjestäminen,53,4,04 Ammatillinen koulutus
473,53Jyväskylän KoulutuskuntayhtymäUrheilijoiden ammatillisen koulutuksen erityistehtävän järjestäminen,53,4,04 Ammatillinen koulutus
474,53Rovaniemen koulutuskuntayhtymäHuipulle urheilussa ja ammatissa,53,4,04 Ammatillinen koulutus
475,53Koulutuskeskus Salpaus -kuntayhtymäUrheilijoiden ammatillisen peruskoulutuksen järjestäminen,53,4,04 Ammatillinen koulutus
476,53Oulun seudun koulutuskuntayhtymäUrheiluvalmennuksen erityispalvelut osana ammatillista peruskoulutusta,53,4,04 Ammatillinen koulutus
477,53Savon ammatti- ja aikuisopistoUrheilijoiden ammatillinen koulutus,53,4,04 Ammatillinen koulutus
478,"53Turun kaupunki, Sivistystoimiala, Turun kasvatus- ja opetusvirastoUrheilijoiden ammatillinen peruskoulutus / Turun Seudun Urheiluakatemia",53,4,04 Ammatillinen koulutus
479,53Valtakunnallinen valmennus- ja liikuntakeskus oyOpiskelun ja huippu-urheilun yhdistämisen mahdollistaminen ammatillisessa peruskoulutuksessa,53,4,04 Ammatillinen koulutus
480,53Helmi Liiketalousopisto OyUrheilijoiden ammatillisen peruskoulutuksen järjestäminen,53,4,04 Ammatillinen koulutus
481,53Tampereen kaupunki/Tampereen seudun ammattiopistoUrheilijoiden ammatillisen peruskoulutuksen järjestäminen,53,4,04 Ammatillinen koulutus
482,53Kotkan-Haminan seudun koulutuskuntayhtymäUrheilijoiden ammatillisen peruskoulutuksen järjestäminen,53,4,04 Ammatillinen koulutus
483,"56Oulun seudun koulutuskuntayhtymäAmmattikoulutus: työelämälähtöiset kokeilut. Sosiaali-, terveys- ja liikunta-alan sekä tekniikan ja liikenteen alaan kuuluvien kokeilujen toimeenpanon edistäminen ja koordinaatiotehtävä.",56,4,04 Ammatillinen koulutus
484,57Pyhännän kuntaTutortoimintaa Pyhännälle,57,2,02 Esi- ja perusopetus
485,57Pyhärannan kuntaTutoropettajien koulutus ja osaamisen kehittäminen- Vakka-Suomen opstutorit/Pyhäranta,57,2,02 Esi- ja perusopetus
486,57Pyhtään kuntaTutoropettajat osaajiksi,57,2,02 Esi- ja perusopetus
487,"57Raahen kaupunki, opetustoimiTutor tueksi tunnille I - hanke",57,2,02 Esi- ja perusopetus
488,57Rääkkylän kuntaTutorien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
489,57Raision kaupunkiTaitavat digitutorit,57,2,02 Esi- ja perusopetus
490,57Reisjärven kuntaTutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
491,57Ranuan kuntaTutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
492,57Ristijärven kuntaTutoreille tueksi tietoa ja taitoa,57,2,02 Esi- ja perusopetus
493,57Rovaniemen kaupunkiArticTutors,57,2,02 Esi- ja perusopetus
494,57Ruoveden kuntaPirkanmaan tutoropettajien koulutusohjelma/Ruoveden kunta,57,2,02 Esi- ja perusopetus
495,57Ruskon kuntaErkolla tutoriksi,57,2,02 Esi- ja perusopetus
496,57Sastamalan kaupunkiPirkanmaan tutoropettajien koulutusohjelma,57,2,02 Esi- ja perusopetus
497,"57Savonlinnan kaupunkiPeruskoulun Tutorit opissa, Savonlinna 2017-2018",57,2,02 Esi- ja perusopetus
498,57Suomussalmen kuntaTUTKO - hanke   tutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
499,57Sysmän kuntaKärkihanke 1 - hakuryhmä 1:Tutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
500,"57Tammelan kunta, SivistystoimiHakuryhmä 1: Tutoropettajien koulutus ja osaamisen kehittäminen",57,2,02 Esi- ja perusopetus
501,57Pälkäneen kuntaPirkanmaan tutoropettajien koulutusohjelma,57,2,02 Esi- ja perusopetus
502,"57Tampereen kaupunki, Vapeha,Pirkanmaan tutoropettajien koulutusohjelma",57,2,02 Esi- ja perusopetus
503,57Pertunmaan kuntaPertunmaan tutoropettajan kouluttaminen kunnan koulujen tarpeisiin,57,2,02 Esi- ja perusopetus
504,57Tampereen kristillinen koulu/Suomen AdventtikirkkoSuomen Adventtikirkon tutoropettajien koulutusohjelma,57,2,02 Esi- ja perusopetus
505,57Tampereen Steiner-kouluyhdistys ryTope-koulutus 2017-18,57,2,02 Esi- ja perusopetus
506,"57Turun kaupunki, sivistystoimialaSchola Tutor Aboensis",57,2,02 Esi- ja perusopetus
507,57Petäjäveden kuntaPetäjäveden tutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
508,"57Alajärven kaupunki, SivistyslautakuntaOppia ikä kaikki",57,2,02 Esi- ja perusopetus
509,57Turun seudun steinerkouluyhdistys ryUusi peruskoulu- ohjelma,57,2,02 Esi- ja perusopetus
510,57Tuusulan kuntaTutoropettaja uuden opetussuunnitelman tukena,57,2,02 Esi- ja perusopetus
511,57Tyrnävän kuntaTukea tutorista-virtaa verkostosta Tyrnävällä,57,2,02 Esi- ja perusopetus
512,57Uudenkaupungin kaupunki / SivistyspalvelukeskusVakka-Suomen tutoropettajien koulutus ja osaamisen kehittäminen / Uusikaupunki,57,2,02 Esi- ja perusopetus
513,57Ulvilan kaupunkiTutoropettajan /koulujen digitutoreiden  koulutushanke,57,2,02 Esi- ja perusopetus
514,57Vaasan kaupungin sivistystoimiVaasan kehittäjätehdas,57,2,02 Esi- ja perusopetus
515,57Haapaveden kaupunkiTutorkoulutus Haapavesi,57,2,02 Esi- ja perusopetus
516,"57Forssan kaupunki, Sivistys- ja tulevaisuustoimialaTutorit Työn Tueksi",57,2,02 Esi- ja perusopetus
517,57Valkeakosken kaupunkiPirkanmaan tutoropettajien koulutusohjelma/ Valkeakoski,57,2,02 Esi- ja perusopetus
518,57Vantaan kaupunkiTutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
519,57Vesannon yhtenäiskouluOPS2016 todeksi.,57,2,02 Esi- ja perusopetus
520,57Pieksämäen kaupunkiTutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
521,57Vesilahden kuntaPirkanmaan tutoropettajien koulutusohjelma,57,2,02 Esi- ja perusopetus
522,57Rautjärven kuntaTietotaitoa bitteihin,57,2,02 Esi- ja perusopetus
523,57Laihian kuntaNuukailematta paras,57,2,02 Esi- ja perusopetus
524,57Siuntion kuntaMonipuolista tutorointia - opettaja tulevaisuuden taitojen edistäjä,57,2,02 Esi- ja perusopetus
525,57Utajärven kuntaTukea tutorista - virtaa verkosta!,57,2,02 Esi- ja perusopetus
526,57Ylöjärven kaupunkiPirkanmaan tutoropettajien koulutusohjelma,57,2,02 Esi- ja perusopetus
527,57Taipalsaaren kuntaTaipalsaaren tutoropettajien koulutus,57,2,02 Esi- ja perusopetus
528,57Hyrynsalmen kuntaHyrynsalmen tutoropettajien koulutus,57,2,02 Esi- ja perusopetus
529,"57Pyhäjoen kuntaTutoreiden koulutus, Pyhäjoki",57,2,02 Esi- ja perusopetus
530,57Oulaisten kaupunkiOulaisten digitutorkoulutus 2017,57,2,02 Esi- ja perusopetus
531,57Oripään kuntaOripään kunnan tutoropettajakoulutus,57,2,02 Esi- ja perusopetus
532,57Orimattilan kaupunkiTutoropettajien koulutus,57,2,02 Esi- ja perusopetus
533,57Nousiaisten kuntaNousiaisten tutoropettajien koulutus,57,2,02 Esi- ja perusopetus
534,57Nakkilan kuntaNakkilan katse kohti digikoulua,57,2,02 Esi- ja perusopetus
535,57Mustasaaren kuntaTutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
536,57Muhoksen kuntaKärkihanke 1 - hakuryhmä 1: Tutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
537,57Mikkelin kaupunki / opetustoimiMikkelin tutorit,57,2,02 Esi- ja perusopetus
538,57Merijärven kuntaTukea tutorista- virtaa verkosta!,57,2,02 Esi- ja perusopetus
539,57Maunulan yhteiskouluTutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
540,57Mäntyharjun kuntaTutorkoulutus tueksi,57,2,02 Esi- ja perusopetus
541,57Mänttä-Vilppulan sivistystoimiTutoropettajien koulutus ja osaamisen kehittäminen - Taidekaupungin digiloikka,57,2,02 Esi- ja perusopetus
542,57Mäntsälän kuntaTutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
543,57Kemijärven kaupungin perusopetusTutoropettajien koulutus ja osaaminen Kemijärvellä,57,2,02 Esi- ja perusopetus
544,57Hausjärven kuntaHausjärven tutor-opettajien koulutus ja osaamisen kehittämishanke,57,2,02 Esi- ja perusopetus
545,57Limingan kuntaTutoreiden digispurtti,57,2,02 Esi- ja perusopetus
546,57Leppävirran kuntaHanke 1 Tutor-opettajien koulutus,57,2,02 Esi- ja perusopetus
547,57Liedon kuntaStuudor-hanke,57,2,02 Esi- ja perusopetus
548,57Lempäälän kuntaPirkanmaan tutoropettajien koulutusohjelma,57,2,02 Esi- ja perusopetus
549,57Lapuan kaupunkiKollegakin osaa,57,2,02 Esi- ja perusopetus
550,57Lapinlahden kuntaTutoropettajien koulutus,57,2,02 Esi- ja perusopetus
551,57Lapinjärven kuntaKoulu ei ole rakennus,57,2,02 Esi- ja perusopetus
552,57Laitilan kaupunkiVakka-Suomen tutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
553,57Lahden Rudolf Steiner -koulun Kannatusyhdistys ry.Tutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
554,57Kyyjärven kuntaUusi peruskoulu; Kärkihanke 1 -hakuryhmä 1: Tutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
555,57Kymenlaakson steinerkoulun kannatusyhdistys rySteinerpedagoginen Digitutor,57,2,02 Esi- ja perusopetus
556,57Kurikan kaupunkiKurikan tutoropettajien koulutus,57,2,02 Esi- ja perusopetus
557,57Kuortaneen kuntaOsaamisen vahvistaminen Kuortaneen perusopetuksessa ,57,2,02 Esi- ja perusopetus
558,57Kulosaaren yhteiskoulun osakeyhtiöDigital and pedagogical cooperation - everyone´s cup of tea,57,2,02 Esi- ja perusopetus
559,57Kotkan kaupunkiKotkan perusopetuksen tutoropettajien koulutus,57,2,02 Esi- ja perusopetus
560,57Kokkolan kaupunkiKokkolan tutorkoulutus,57,2,02 Esi- ja perusopetus
561,57Kokemäen kaupunkiTutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
562,57Pellon kuntaTutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
563,57Kirkkonummen kuntaOpetuksen ja oppimisen tutorointi - Polku TVT asiantuntijuuteen Kirkkonummella,57,2,02 Esi- ja perusopetus
564,57Kuopion kristillisen päiväkodin ja koulun kannatusyhdistys ryKukrin Tutoropettajakoulutushanke,57,2,02 Esi- ja perusopetus
565,57Kemin kaupunkiKemin tutoropettajien koulutus ja osaamisen lisääminen,57,2,02 Esi- ja perusopetus
566,57Oulun kristillinen kasvatus ryTutordigiloikka@Oukris,57,2,02 Esi- ja perusopetus
567,57Kaustisen kuntaTutoropettajille koulutus Kaustiselle!,57,2,02 Esi- ja perusopetus
568,"57Outokummun kaupunki, Kummun kouluTutoreidemme seudullinen kouluttautuminen",57,2,02 Esi- ja perusopetus
569,57Kannuksen kaupunkiTutoropettajakoulutus / Kannus,57,2,02 Esi- ja perusopetus
570,57Jyväskylän steinerkoulun kannatusyhdistys ryTutoropettajan koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
571,57Jyväskylän kristillisen koulun yhdistys ryTVT1 - Tutorit Valmentautuvat Taitajiksi,57,2,02 Esi- ja perusopetus
572,57Juupajoen kuntaPirkanmaan tutoropettajien koulutusohjelma/Juupajoen kunta,57,2,02 Esi- ja perusopetus
573,57Juuan kuntaTutoreita digitueksi,57,2,02 Esi- ja perusopetus
574,57Joensuun steinerkoulun kannatusyhdistys ry.Tutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
575,57Joensuun kaupunkiTutoropettajien koulutus ja osaamisen kehittäminen / Joensuun kaupunki,57,2,02 Esi- ja perusopetus
576,57Järvenpään kaupunki / Lasten ja nuorten palvelualueMe opimme!,57,2,02 Esi- ja perusopetus
577,57Jämsän kaupunkiJämsän DigiOpet 1.0 -kouluttautuminen,57,2,02 Esi- ja perusopetus
578,"57Teuvan kunta/sivistystoimi""Vertaansa vailla” - tutoropettajien alueellinen yhteistyö",57,2,02 Esi- ja perusopetus
579,"57Itä-Suomen yliopisto, Joensuun normaalikouluTutoropettajien koulutus ja osaamisen kehittäminen",57,2,02 Esi- ja perusopetus
580,57Itä-Suomen suomalais-venäläisen koulun säätiöTutoropettajat tukena tunneilla ja toiminnassa/koulutus,57,2,02 Esi- ja perusopetus
581,57Isonkyrön kuntaTutoropettajien koulutus ja osaamisen kehitäminen,57,2,02 Esi- ja perusopetus
582,57Inkoon kuntaTutoropettajien koulutus,57,2,02 Esi- ja perusopetus
583,"57Imatran kaupunkiKeskus, Kehityksen Kehto ",57,2,02 Esi- ja perusopetus
584,57Kolarin kuntaKolarin digiloikka,57,2,02 Esi- ja perusopetus
585,57Ilmajoen kuntaDigitutoreille oppia Ilmajoella,57,2,02 Esi- ja perusopetus
586,57Ikaalisten kaupunkiTutoropettajien koulutus,57,2,02 Esi- ja perusopetus
587,57Iisalmen kaupunkiTutoropettajien koulutus - TOP,57,2,02 Esi- ja perusopetus
588,57Hyvinkään kaupunkiPedagogiset kouluttajat opettajan työn tukena,57,2,02 Esi- ja perusopetus
589,57Humppilan kuntaTutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
590,57Huittisten kaupunkiDigituutoreiden osaamispolku,57,2,02 Esi- ja perusopetus
591,57Helsingin Rudolf Steiner -koulun kannatusyhdistys ryDigiloikan mahdollistaminen Helsingin Rudolf Steiner -koulussa,57,2,02 Esi- ja perusopetus
592,57Hankasalmen kuntaTVt-tutoropettajien kouluttaminen Hankasalmella,57,2,02 Esi- ja perusopetus
593,57Hämeenlinnan kaupunkiHämeenlinnan tutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
594,57Eurajoen kuntaEurajoen Tutoropettajien TVT - koulutushanke,57,2,02 Esi- ja perusopetus
595,57Etelä-Pohjanmaan Steinerkouluyhdistys ryDigitutor-opettajan koulutus,57,2,02 Esi- ja perusopetus
596,"57Askolan kuntaTuutorista tukea opettajalle, koulutus",57,2,02 Esi- ja perusopetus
597,57Asikkalan kuntaTutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
598,57Ähtärin kaupunkiValmiuksia digiloikkaan ilmiöpohjaisessa opetuksessa,57,2,02 Esi- ja perusopetus
599,57Äänekosken kaupunkiÄänekosken opetuspalveluiden tutoropettajien vertaiskoulutus-hanke,57,2,02 Esi- ja perusopetus
600,57Auran kuntaTutoropettajien koulutus ,57,2,02 Esi- ja perusopetus
601,57Paimion kaupunkiTutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
602,57Akaan kaupunkiPirkanmaan tutoropettajien koulutusohjelma / Akaa,57,2,02 Esi- ja perusopetus
603,57Suomalaisen Yhteiskoulun OyOpettajasta tutoropettajaksi ja pedagogiseksi tueksi,57,2,02 Esi- ja perusopetus
604,57Nokian kaupunkiPirkanmaan tutoropettajien koulutusohjelma,57,2,02 Esi- ja perusopetus
605,57Sodankylän kuntaTutor-opettajien koulutus ja osaamisen kehittäminen - Arktista osaamista,57,2,02 Esi- ja perusopetus
606,57Joroisten kuntaBuustia digitutoreille,57,2,02 Esi- ja perusopetus
607,"57HAMINAN KAUPUNKI, Lasten ja nuorten koulutuspalvelutTutoropettajien koulutus ja osaamisen kehittäminen",57,2,02 Esi- ja perusopetus
608,57Kustavin kuntaVakka-Suomen tutoropettajien koulutus ja osaamisen kehittäminen/Kustavi,57,2,02 Esi- ja perusopetus
609,57Kankaanpään kaupunkiKankaanpään perusopetuksen OPS-tutorit,57,2,02 Esi- ja perusopetus
610,57Pirkkalan kuntaPirkanmaan tutoropettajien koulutusohjelma - Pirkkala,57,2,02 Esi- ja perusopetus
611,57Porvoon steinerkoulun kannatusyhdistys rytvt-taidot haltuun opettajille vuoteen 2018 mennessä,57,2,02 Esi- ja perusopetus
612,57Vasa övningsskolaUtbildning och kompetensutveckling för tutorlärare,57,2,02 Esi- ja perusopetus
613,57Svenskspråkig grundläggande utbildningTutorlärarnas utbildning och kompetensutveckling,57,2,02 Esi- ja perusopetus
614,57Malax kommunLokal och regional modell för tutorlärarnas utbildning,57,2,02 Esi- ja perusopetus
615,57Skolgarantiföreningen r.f.Tutorlärarutbildning ,57,2,02 Esi- ja perusopetus
616,57Larsmo kommunFramtidens tutorlärare,57,2,02 Esi- ja perusopetus
617,57KristinestadKompetensutvecklande tutorer,57,2,02 Esi- ja perusopetus
618,57Pohjois-Haagan yhteiskouluTutoropettajan koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
619,"57Kimitoöns kommun, bildningsavdelningenKimitoöns digitutorer - KidIT",57,2,02 Esi- ja perusopetus
620,57Föreningen för Svenska samskolans i Tammerfors upprätthållande r.f.Tutorlärares utbildning och kompetensutveckling,57,2,02 Esi- ja perusopetus
621,"57Esbo stad, Svenska bildningstjänsterLära tillsammans",57,2,02 Esi- ja perusopetus
622,57Borgå stadTutorlärarnas utbildning och kompetensutveckling,57,2,02 Esi- ja perusopetus
623,57Björneborgs svenska samskolaTutorlärarutbildning ,57,2,02 Esi- ja perusopetus
624,57Vörå kommunTutorlärarnas utbildning och kompetensutveckling,57,2,02 Esi- ja perusopetus
625,57Polvijärven kuntaTutoropettajien koulutus ja osaamisen kehittäminen Polvijärvellä,57,2,02 Esi- ja perusopetus
626,57Pornaisten kuntaDigiopettajasta tutoriksi,57,2,02 Esi- ja perusopetus
627,57Kouluyhdistys Pestalozzi Schulverein Skolföreningen ryTutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
628,57Kannonkosken kuntaKärkihanke 1 - hakuryhmä 1: Tutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
629,57Kouvolan kaupunki#tutorkouvola1,57,2,02 Esi- ja perusopetus
630,57Kristiinankaupunki/KarijokiOppivat opettajat,57,2,02 Esi- ja perusopetus
631,57Kuhmon kaupunkiKuhmon digitutorkoulutus,57,2,02 Esi- ja perusopetus
632,57Euran kuntaTutoropettajien koulutus ja osaamisen kehittäminen,57,2,02 Esi- ja perusopetus
633,57Kuopion kaupunkiMentoroinnilla menestykseen,57,2,02 Esi- ja perusopetus
634,57Kuusamon kaupunkiDigitutorointitaidot haltuun,57,2,02 Esi- ja perusopetus
635,"57Lahden kaupunki, Sivistystoimiala, Lasten-ja nuorten vastuualue, perusopetuspal.UPO - Lahti 1.",57,2,02 Esi- ja perusopetus
636,57Lahden kristillisen koulun kannatusyhdistys ryTutorointia,57,2,02 Esi- ja perusopetus
