unique,personnel-costs-row.amount,material-costs-row.amount,rent-costs-row.amount,service-purchase-costs-row.amount,steamship-costs-row.amount,other-costs-row.amount,equipment-costs-row.amount,coordination-costs-row.amount,other-costs-row-2.amount,personnel-costs-row.amount-18,material-costs-row.amount-18,menotamount,project-incomes-row.amount,own-income-row.amount,eu-programs-income-row.amount,other-public-financing-income-row.amount,private-financing-income-row.amount,tulotamount,summaamount,SummienTodennakoisyys
95Porin kaupunkiPorin kaksikielisen opetuksen laajentaminen,17651.0,0.0,0.0,202.0,551.0,82.0,0.0,0.0,0.0,0.0,0.0,18486.0,0.0,0.0,0.0,0.0,0.0,0.0,-18486.0,98.27960146595302
95Kalajoen kaupunkiEnglantirikastus päiväkoteihin Kalajoella,6699.0,81.0,0.0,0.0,404.0,133.0,0.0,0.0,0.0,0.0,0.0,7317.0,0.0,0.0,0.0,0.0,0.0,0.0,-7317.0,98.16963171719088
95Kemin kaupunkiVirike jalkautuu,17481.0,583.0,0.0,2188.0,1706.0,533.0,0.0,0.0,0.0,0.0,0.0,22491.0,0.0,0.0,0.0,0.0,0.0,0.0,-22491.0,88.09806737898212
"95Kauniaisten suomenkielinen opetustoimiKielikylpyopetuksen jatkokehittäminen perusopetuksessa, erityisesti vuosiluokilla 7-9",7251.0,819.0,0.0,1798.0,140.0,1211.0,0.0,0.0,0.0,0.0,0.0,11219.0,0.0,0.0,0.0,0.0,0.0,0.0,-11219.0,79.16515068234399
99Karelia University of Applied SciencesFIRST+RUSKA,5876.0,1120.0,600.0,0.0,5500.0,7893.0,0.0,0.0,0.0,0.0,0.0,20989.0,0.0,0.0,0.0,0.0,0.0,0.0,-20989.0,78.74130207882853
99Metropolia University of Applied SciencesFIRST+ SoFi-Piter 2018-2019,5736.0,3920.0,9874.0,0.0,13440.0,0.0,0.0,0.0,0.0,0.0,0.0,32970.0,0.0,0.0,0.0,0.0,0.0,0.0,-32970.0,68.88167952414322
99Saimaa University of Applied SciencesSAIMAA 2018 FIRST+,27105.0,30900.0,14788.0,0.0,11100.0,0.0,0.0,0.0,0.0,0.0,0.0,83893.0,0.0,0.0,0.0,0.0,0.0,0.0,-83893.0,43.805128062453896
99Seinäjoki University of Applied SciencesSeAMK FIRST 2018-2019,2240.0,3360.0,6690.0,0.0,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,15970.0,0.0,0.0,0.0,0.0,0.0,0.0,-15970.0,75.83680875770482
99Turku University of Applied SciencesSouth-West Finland - Russia 2018-19,10985.0,6095.0,4881.0,9689.0,6095.0,0.0,0.0,0.0,0.0,0.0,0.0,37745.0,0.0,0.0,0.0,0.0,0.0,0.0,-37745.0,77.8361378129769
99University of Eastern FinlandUEF Cross-Border Network,12461.0,16025.0,4790.0,0.0,9680.0,17654.0,0.0,0.0,0.0,0.0,0.0,60610.0,0.0,0.0,0.0,0.0,0.0,0.0,-60610.0,73.07607548342122
99University of Jyväskylä JYU Multidisciplinary FIRST+ Network,16093.0,34600.0,7950.0,19469.0,2493.0,0.0,0.0,0.0,0.0,0.0,0.0,80605.0,0.0,0.0,0.0,0.0,0.0,0.0,-80605.0,51.24608132013254
99University of OuluOulu First Network,1400.0,10650.0,2598.0,0.0,11200.0,0.0,0.0,0.0,0.0,0.0,0.0,25848.0,0.0,0.0,0.0,0.0,0.0,0.0,-25848.0,75.19616940815655
99University of TampereCross-Border International Relations,200.0,0.0,0.0,6703.0,338.0,4918.0,0.0,0.0,0.0,0.0,0.0,12159.0,0.0,0.0,0.0,0.0,0.0,0.0,-12159.0,79.1754728070422
99Haaga-Helia University of Applied SciencesFIRST+ 2017-2019,3550.0,3200.0,5800.0,0.0,27050.0,0.0,0.0,0.0,0.0,0.0,0.0,39600.0,0.0,0.0,0.0,0.0,0.0,0.0,-39600.0,56.73995503301434
99Kajaani University of Applied SciencesNN-FI-RU Network for Social Services and Health Care,5290.0,2840.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18130.0,0.0,0.0,0.0,0.0,0.0,0.0,-18130.0,79.05959785031035
99Lappeenranta University of TechnologyLUT-Russia 2018-2019,21590.0,14160.0,17000.0,13200.0,11200.0,0.0,0.0,0.0,0.0,0.0,0.0,77150.0,0.0,0.0,0.0,0.0,0.0,0.0,-77150.0,50.73409718408241
99University of TurkuAura FIRST+,7080.0,0.0,11920.0,5817.0,26431.0,0.0,0.0,0.0,0.0,0.0,0.0,51248.0,0.0,0.0,0.0,0.0,0.0,0.0,-51248.0,51.39831233574158
"99Vamk Ltd., University of Applied SciencesDiscovering New Outlooks in Siberia",2600.0,2960.0,2600.0,11690.0,3680.0,21527.0,0.0,0.0,0.0,0.0,0.0,45057.0,0.0,0.0,0.0,0.0,0.0,0.0,-45057.0,79.11918423242147
99University of Lapland Lapland Finnish-Russian Student and Teacher Exchange Programme,4800.0,17573.0,0.0,0.0,2240.0,0.0,0.0,0.0,0.0,0.0,0.0,24613.0,0.0,0.0,0.0,0.0,0.0,0.0,-24613.0,73.25282848001703
99Tampere University of TechnologyUniversity Cooperation in 5G Telecommunications 2018-2019,0.0,12154.0,4108.0,0.0,12370.0,0.0,0.0,0.0,0.0,0.0,0.0,28632.0,0.0,0.0,0.0,0.0,0.0,0.0,-28632.0,73.75152921278999
99Tampere University of Applied SciencesForests and Well-Being in Urban Context - Experiential Approach,0.0,800.0,400.0,0.0,4480.0,6841.0,0.0,0.0,0.0,0.0,0.0,12521.0,0.0,0.0,0.0,0.0,0.0,0.0,-12521.0,78.84652427585681
99Tampere University of Applied SciencesBusiness Development and Circular Economy Boost through University Cooperation,1960.0,2840.0,1000.0,8607.0,5140.0,7576.0,0.0,0.0,0.0,0.0,0.0,27123.0,0.0,0.0,0.0,0.0,0.0,0.0,-27123.0,79.0964596050009
99South-Eastern Finland University of Applied SciencesXamkRussia2017-2019,388.0,6443.0,0.0,8594.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,16925.0,0.0,0.0,0.0,0.0,0.0,0.0,-16925.0,78.61559383896106
99Savonia University of Applied SciencesSavonia's Russian Network,20550.0,11140.0,7780.0,0.0,4925.0,6114.0,0.0,0.0,0.0,0.0,0.0,50509.0,0.0,0.0,0.0,0.0,0.0,0.0,-50509.0,73.2692302307843
99Laurea University of Applied SciencesFINRUS+ 18-19,6720.0,8960.0,0.0,0.0,3740.0,12216.0,0.0,0.0,0.0,0.0,0.0,31636.0,0.0,0.0,0.0,0.0,0.0,0.0,-31636.0,77.76746447321601
99Aalto UniversityAalto Network 2018-2019,2100.0,23480.0,2600.0,0.0,9320.0,0.0,0.0,0.0,0.0,0.0,0.0,37500.0,0.0,0.0,0.0,0.0,0.0,0.0,-37500.0,67.99952564618008
